ANO;MODELO;CLASSIFICACAO;SITUACAO;OBSERVACAO
2009;cadastro_cursos;CINE;cadastro_cursos;
2010;cadastro_cursos;CINE;cadastro_cursos;
2011;cadastro_cursos;CINE;cadastro_cursos;
2012;cadastro_cursos;CINE;cadastro_cursos;
2013;cadastro_cursos;CINE;cadastro_cursos;
2014;cadastro_cursos;CINE;cadastro_cursos;
2015;cadastro_cursos;CINE;cadastro_cursos;
2016;cadastro_cursos;CINE;cadastro_cursos;
2017;antigo_ocde;OCDE;arquivo_aluno;Sem CINE. Recorte por OCDE área 48 e código 523E04. Sem inscritos.
2018;antigo_cine_brasil;CINE Brasil;arquivo_aluno;Modelo antigo de arquivos DM_.
2019;antigo_cine_brasil;CINE Brasil;arquivo_aluno;Modelo antigo de arquivos SUP_.
2020;cadastro_cursos;CINE;cadastro_cursos;
2021;cadastro_cursos;CINE;cadastro_cursos;
2022;cadastro_cursos;CINE;cadastro_cursos;
2023;cadastro_cursos;CINE;cadastro_cursos;
2024;cadastro_cursos;CINE;cadastro_cursos;
