CO_CURSO;RESULTADO;JUSTIFICATIVA
40165;compativel;Nome composto ou nome historico compativel com o rotulo do INEP.
45313;compativel;Nome composto ou nome historico compativel com o rotulo do INEP.
45480;compativel;Nome composto ou nome historico compativel com o rotulo do INEP.
45578;compativel;Nome composto ou nome historico compativel com o rotulo do INEP.
45668;compativel;Nome composto ou nome historico compativel com o rotulo do INEP.
48267;compativel;Nome composto ou nome historico compativel com o rotulo do INEP.
58366;compativel;Nome composto ou nome historico compativel com o rotulo do INEP.
89748;compativel;Nome composto ou nome historico compativel com o rotulo do INEP.
95799;compativel;Nome composto ou nome historico compativel com o rotulo do INEP.
114270;compativel;Nome composto ou nome historico compativel com o rotulo do INEP.
1457818;compativel;Nome composto ou nome historico compativel com o rotulo do INEP.
9586;divergente;O rotulo do INEP diverge do nome, mas os dois pertencem ao escopo de Computacao/TIC.
18733;divergente;O rotulo do INEP diverge do nome, mas os dois pertencem ao escopo de Computacao/TIC.
91868;divergente;O rotulo do INEP diverge do nome, mas os dois pertencem ao escopo de Computacao/TIC.
1110857;divergente;O rotulo do INEP diverge do nome, mas os dois pertencem ao escopo de Computacao/TIC.
1292285;divergente;O rotulo do INEP diverge do nome, mas os dois pertencem ao escopo de Computacao/TIC.
1322074;divergente;O rotulo do INEP diverge do nome, mas os dois pertencem ao escopo de Computacao/TIC.
1585464;divergente;O rotulo do INEP diverge do nome, mas os dois pertencem ao escopo de Computacao/TIC.
1597254;divergente;O rotulo do INEP diverge do nome, mas os dois pertencem ao escopo de Computacao/TIC.
1616602;divergente;O rotulo do INEP diverge do nome, mas os dois pertencem ao escopo de Computacao/TIC.
122634;mudanca_historica;O nome mudou ao longo da serie, preservar o valor de cada ano.
