COLUNA;OBRIGATORIA
NU_ANO_CENSO;sim
NO_REGIAO;sim
CO_REGIAO;nao
NO_UF;nao
SG_UF;sim
CO_UF;sim
NO_MUNICIPIO;sim
CO_MUNICIPIO;sim
IN_CAPITAL;nao
TP_DIMENSAO;sim
TP_ORGANIZACAO_ACADEMICA;sim
TP_REDE;sim
TP_CATEGORIA_ADMINISTRATIVA;sim
IN_COMUNITARIA;nao
IN_CONFESSIONAL;nao
CO_IES;sim
NO_CURSO;sim
CO_CURSO;sim
NO_CINE_ROTULO;sim
CO_CINE_ROTULO;sim
CO_CINE_AREA_GERAL;sim
NO_CINE_AREA_GERAL;sim
CO_CINE_AREA_ESPECIFICA;sim
NO_CINE_AREA_ESPECIFICA;sim
CO_CINE_AREA_DETALHADA;sim
NO_CINE_AREA_DETALHADA;sim
TP_GRAU_ACADEMICO;sim
IN_GRATUITO;nao
TP_MODALIDADE_ENSINO;sim
TP_NIVEL_ACADEMICO;sim
QT_CURSO;nao
QT_VG_TOTAL;sim
QT_VG_TOTAL_DIURNO;nao
QT_VG_TOTAL_NOTURNO;nao
QT_VG_TOTAL_EAD;nao
QT_VG_NOVA;nao
QT_VG_PROC_SELETIVO;nao
QT_VG_REMANESC;nao
QT_VG_PROG_ESPECIAL;nao
QT_INSCRITO_TOTAL;sim
QT_INSCRITO_TOTAL_DIURNO;nao
QT_INSCRITO_TOTAL_NOTURNO;nao
QT_INSCRITO_TOTAL_EAD;nao
QT_INSC_VG_NOVA;nao
QT_INSC_PROC_SELETIVO;nao
QT_INSC_VG_REMANESC;nao
QT_INSC_VG_PROG_ESPECIAL;nao
QT_ING;sim
QT_ING_FEM;nao
QT_ING_MASC;nao
QT_ING_DIURNO;nao
QT_ING_NOTURNO;nao
QT_ING_VG_NOVA;nao
QT_ING_VESTIBULAR;nao
QT_ING_ENEM;nao
QT_ING_AVALIACAO_SERIADA;nao
QT_ING_SELECAO_SIMPLIFICA;nao
QT_ING_EGR;nao
QT_ING_OUTRO_TIPO_SELECAO;nao
QT_ING_PROC_SELETIVO;nao
QT_ING_VG_REMANESC;nao
QT_ING_VG_PROG_ESPECIAL;nao
QT_ING_OUTRA_FORMA;nao
QT_ING_0_17;nao
QT_ING_18_24;nao
QT_ING_25_29;nao
QT_ING_30_34;nao
QT_ING_35_39;nao
QT_ING_40_49;nao
QT_ING_50_59;nao
QT_ING_60_MAIS;nao
QT_ING_BRANCA;nao
QT_ING_PRETA;nao
QT_ING_PARDA;nao
QT_ING_AMARELA;nao
QT_ING_INDIGENA;nao
QT_ING_CORND;nao
QT_MAT;sim
QT_MAT_FEM;nao
QT_MAT_MASC;nao
QT_MAT_DIURNO;nao
QT_MAT_NOTURNO;nao
QT_MAT_0_17;nao
QT_MAT_18_24;nao
QT_MAT_25_29;nao
QT_MAT_30_34;nao
QT_MAT_35_39;nao
QT_MAT_40_49;nao
QT_MAT_50_59;nao
QT_MAT_60_MAIS;nao
QT_MAT_BRANCA;nao
QT_MAT_PRETA;nao
QT_MAT_PARDA;nao
QT_MAT_AMARELA;nao
QT_MAT_INDIGENA;nao
QT_MAT_CORND;nao
QT_CONC;sim
QT_CONC_FEM;nao
QT_CONC_MASC;nao
QT_CONC_DIURNO;nao
QT_CONC_NOTURNO;nao
QT_CONC_0_17;nao
QT_CONC_18_24;nao
QT_CONC_25_29;nao
QT_CONC_30_34;nao
QT_CONC_35_39;nao
QT_CONC_40_49;nao
QT_CONC_50_59;nao
QT_CONC_60_MAIS;nao
QT_CONC_BRANCA;nao
QT_CONC_PRETA;nao
QT_CONC_PARDA;nao
QT_CONC_AMARELA;nao
QT_CONC_INDIGENA;nao
QT_CONC_CORND;nao
QT_ING_NACBRAS;nao
QT_ING_NACESTRANG;nao
QT_MAT_NACBRAS;nao
QT_MAT_NACESTRANG;nao
QT_CONC_NACBRAS;nao
QT_CONC_NACESTRANG;nao
QT_ALUNO_DEFICIENTE;nao
QT_ING_DEFICIENTE;nao
QT_MAT_DEFICIENTE;nao
QT_CONC_DEFICIENTE;nao
QT_ING_FINANC;nao
QT_ING_FINANC_REEMB;nao
QT_ING_FIES;nao
QT_ING_RPFIES;nao
QT_ING_FINANC_REEMB_OUTROS;nao
QT_ING_FINANC_NREEMB;nao
QT_ING_PROUNII;nao
QT_ING_PROUNIP;nao
QT_ING_NRPFIES;nao
QT_ING_FINANC_NREEMB_OUTROS;nao
QT_MAT_FINANC;nao
QT_MAT_FINANC_REEMB;nao
QT_MAT_FIES;nao
QT_MAT_RPFIES;nao
QT_MAT_FINANC_REEMB_OUTROS;nao
QT_MAT_FINANC_NREEMB;nao
QT_MAT_PROUNII;nao
QT_MAT_PROUNIP;nao
QT_MAT_NRPFIES;nao
QT_MAT_FINANC_NREEMB_OUTROS;nao
QT_CONC_FINANC;nao
QT_CONC_FINANC_REEMB;nao
QT_CONC_FIES;nao
QT_CONC_RPFIES;nao
QT_CONC_FINANC_REEMB_OUTROS;nao
QT_CONC_FINANC_NREEMB;nao
QT_CONC_PROUNII;nao
QT_CONC_PROUNIP;nao
QT_CONC_NRPFIES;nao
QT_CONC_FINANC_NREEMB_OUTROS;nao
QT_ING_RESERVA_VAGA;nao
QT_ING_RVREDEPUBLICA;nao
QT_ING_RVPPI;nao
QT_ING_RVQUILO;nao
QT_ING_RVREFU;nao
QT_ING_RVPOVT;nao
QT_ING_RVPDEF;nao
QT_ING_RVSOCIAL_RF;nao
QT_ING_RVIDOSO;nao
QT_ING_RVINTERN;nao
QT_ING_RVMEDAL;nao
QT_ING_RVTRANS;nao
QT_ING_RVOUTROS;nao
QT_MAT_RESERVA_VAGA;nao
QT_MAT_RVREDEPUBLICA;nao
QT_MAT_RVPPI;nao
QT_MAT_RVQUILO;nao
QT_MAT_RVREFU;nao
QT_MAT_RVPOVT;nao
QT_MAT_RVPDEF;nao
