FLAG;CONTAGEM;SERIE_MAT;MAPA_MUN;PRESENCA;VAGAS;INSCRITOS;EVASAO_SIT;AREA_TIPO;SERIE_CURSO;DECISAO
FL_VAGAS_REPETIDAS;-;-;-;-;sinalizar;-;-;-;-;D03
FL_VAGAS_IES_ANO_SUSPEITO;-;-;-;-;excluir;-;-;-;-;D03
FL_INSCRITO_IGUAL;-;-;-;-;-;sinalizar;-;-;-;D04
FL_INSCRITO_ZERO;-;-;-;-;-;excluir;-;-;-;D07
FL_MAT_ZERO_COM_ING;-;sinalizar;-;-;-;-;excluir;-;excluir;D10
FL_MAT_CAI_A_ZERO;-;sinalizar;-;-;-;-;excluir;-;excluir;D10
FL_ZERO_LACUNA_50;-;sinalizar;-;-;-;-;excluir;-;excluir;D10
FL_SALTO_MAT;-;sinalizar;-;-;-;-;sinalizar;-;sinalizar;D10
FL_EAD_DISTRIB_ATIPICA;-;-;excluir;excluir;-;-;-;-;-;D02
FL_MUDANCA_DISTRIBUICAO;-;-;sinalizar;sinalizar;-;-;-;-;-;D10
FL_NOME_ROTULO_DIVERGENTE;-;-;-;-;-;-;-;sinalizar;-;D10
FL_ROTULO_EM_DEFINICAO;-;-;-;-;-;-;-;sinalizar;-;D10
FL_EAD_MUNICIPIOS_ZERADOS_AMPLA;-;-;sinalizar;sinalizar;-;-;-;-;-;D02
FL_EAD_TODOS_MUN_ZERO;-;-;sinalizar;sinalizar;-;-;-;-;-;D10
FL_TUDO_ZERO;sinalizar;sinalizar;-;-;-;-;excluir;-;sinalizar;D10
FL_BAIXA_ATIVIDADE;sinalizar;-;-;-;-;-;-;-;sinalizar;D10
FL_INTERDISCIPLINAR;sinalizar;-;-;-;-;-;-;sinalizar;-;D10
FL_ROTULO_MUDA_NA_SERIE;-;-;-;-;-;-;-;sinalizar;sinalizar;D10
FL_CO_CURSO_EM_VARIAS_IES;-;-;-;-;-;-;-;-;sinalizar;D10
FL_MUN_ZERO_3_ANOS;-;-;sinalizar;sinalizar;-;-;-;-;-;D10
FL_PROXY_OCDE_2017;sinalizar;sinalizar;-;-;-;-;-;sinalizar;-;D10
FL_EAD_SEM_TERRITORIO;-;-;sinalizar;sinalizar;-;-;-;-;-;D10
