FLAG;TITULO;O_QUE_E;POR_QUE_IMPORTA;O_QUE_FAZER;ONDE_LER_MAIS
FL_VAGAS_REPETIDAS;Mesmo número de vagas em vários cursos;A instituição declarou exatamente o mesmo número de vagas em quatro ou mais cursos de Computação no mesmo ano. Este curso é um deles.;Isso costuma indicar uma capacidade geral da instituição lançada em cada curso, e não uma vaga pensada curso a curso. Somar esses números conta a mesma vaga várias vezes.;Conferir se as vagas de cada curso foram informadas separadamente no Censo.;Curadoria, item 2.1
FL_VAGAS_IES_ANO_SUSPEITO;Instituição repetiu vagas em vários cursos neste ano;Neste ano a instituição repetiu o mesmo número de vagas em vários cursos. Como não dá para saber quais vagas são reais, o painel trata todas as vagas dela nesse ano como não confiáveis.;Sem essa regra, um número repetido em dezenas de cursos inflaria o total de vagas do país. Matrículas, ingressantes e demais informações do curso seguem valendo.;Conferir e, se for o caso, corrigir junto ao INEP as vagas informadas para cada curso neste ano.;Curadoria, item 2.1. Manual de uso, decisão D03
FL_INSCRITO_IGUAL;Inscritos iguais às vagas ou aos ingressantes;O número de inscritos informado é idêntico ao de vagas ou ao de ingressantes.;Em um processo seletivo real costuma haver mais inscritos do que vagas e do que ingressantes. A igualdade sugere que um campo foi copiado no lugar do outro, mas não prova erro.;Conferir se o campo de inscritos foi preenchido com o número de candidatos do processo seletivo.;Curadoria, item 2.2
FL_INSCRITO_ZERO;Zero inscritos informados;O curso informou zero inscritos no ano.;Um zero pode ser campo em branco preenchido como zero, principalmente quando o curso teve ingressantes. Zeros puxam para baixo qualquer média de procura.;Conferir se o número de inscritos foi de fato informado ao Censo.;Curadoria, item 2.7
FL_MAT_ZERO_COM_ING;Zero matrículas, mas com ingressantes;O curso informou zero matrículas no ano, mas registrou ingressantes.;Quem ingressa no ano deveria contar como matriculado. O zero pode ser falha de preenchimento e distorce a evolução do curso e qualquer conta que use matrículas.;Conferir a matrícula informada para o ano.;Curadoria, item 2.3
FL_MAT_CAI_A_ZERO;Matrículas caíram a zero de um ano para o outro;O curso tinha matrículas no ano anterior e informou zero neste ano.;Pode ser encerramento, pausa na oferta, falha de preenchimento ou migração dos alunos para outro código de curso. Só com o dado do Censo não dá para saber qual.;Conferir se o curso foi encerrado, pausado ou mudou de código, e se a matrícula do ano foi informada.;Curadoria, item 2.3
FL_ZERO_LACUNA_50;Ano zerado entre dois anos com muitas matrículas;O curso tinha pelo menos 50 matrículas antes e depois, mas informou zero neste ano.;É o padrão típico de lacuna de preenchimento: o curso continuou existindo, mas o ano ficou sem dado.;Conferir o preenchimento do ano.;Curadoria, item 2.3
FL_SALTO_MAT;Salto brusco de matrículas;As matrículas do curso mudaram muitas vezes de tamanho de um ano para o outro, com diferença de pelo menos 500 alunos.;Pode ser crescimento real, mas também mudança na forma de declarar. Exige contexto para ser interpretado.;Se o salto não for real, conferir como as matrículas foram declaradas nos dois anos.;Curadoria, item 2.3
FL_EAD_DISTRIB_ATIPICA;Matrículas concentradas ou municípios vazios (EaD);Neste curso a distância, ou boa parte dos municípios cadastrados não tem nenhum aluno, ou quase todas as matrículas estão num único município.;O total do curso continua valendo, mas a distribuição por município pode não mostrar onde os alunos realmente estão. Por isso o curso fica fora do mapa e da contagem de municípios.;Conferir em quais municípios as matrículas foram declaradas.;Curadoria, item 2.4. Manual de uso, decisão D02
FL_MUDANCA_DISTRIBUICAO;Distribuição por município mudou muito de um ano para o outro;A distribuição das matrículas entre os municípios mudou bastante em relação ao ano anterior, ou municípios que reuniam muitas matrículas deixaram de aparecer.;Pode ser reorganização real dos polos ou mudança na forma de declarar. O mapa deste ano não é diretamente comparável ao do ano anterior.;Conferir se houve reorganização dos polos ou mudança na declaração.;Curadoria, item 2.4
FL_NOME_ROTULO_DIVERGENTE;Nome do curso diferente da classificação do INEP;O nome do curso sugere um tipo, mas o INEP o classificou em outro.;Quem agrupa cursos por tipo pode contar este curso numa categoria diferente da esperada. Não sabemos qual dos dois está certo.;Conferir a classificação e o nome informados ao Censo.;Curadoria, item 2.5
FL_ROTULO_EM_DEFINICAO;Classificação do curso ainda em definição pelo INEP;O INEP marcou o curso com um código provisório de classificação em processo de definição.;O curso continua na base como Computação/TIC, mas não dá para agrupá-lo com segurança numa subárea.;Nada a corrigir. É uma classificação provisória do próprio INEP.;Curadoria, item 2.6
FL_EAD_MUNICIPIOS_ZERADOS_AMPLA;Municípios cadastrados sem nenhum aluno (EaD);Vários dos municípios cadastrados neste curso a distância não têm nenhum aluno.;É comum em EaD e serve só de aviso: município cadastrado não quer dizer que há polo ou aluno ali. O painel só conta um município quando ele tem matrícula.;Nada a corrigir necessariamente.;Curadoria, item 2.4
FL_EAD_TODOS_MUN_ZERO;Todos os municípios cadastrados sem aluno (EaD);O curso lista municípios, mas nenhum deles tem matrícula.;O curso aparece no cadastro do ano, mas não tem aluno para mostrar no mapa.;Conferir se o curso teve alunos no ano.;Curadoria, item 2.4
FL_TUDO_ZERO;Todos os números do curso vieram zerados;O curso consta no Censo, mas vagas, inscritos, ingressantes, matrículas, concluintes e situações vieram todos zerados.;Conta como curso cadastrado, mas não tem atividade. Não deve entrar em contas que dependem de atividade.;Conferir se o curso estava em atividade no ano.;Curadoria, item 3.5
FL_BAIXA_ATIVIDADE;Curso com pouquíssima atividade na série;Ao longo dos anos, o curso teve metade ou mais dos anos sem matrícula e menos de 20 matrículas no total.;Provavelmente é curso sem turma ou em extinção. Infla a contagem de cursos.;Conferir se o curso ainda está ativo.;Curadoria, item 3.5
FL_INTERDISCIPLINAR;Curso interdisciplinar mantido na base;Curso de graduação interdisciplinar da área de Computação/TIC.;Não é curso de ingresso por área básica (ABI) e por isso ficou no recorte. Pode ter classificação mais ampla que os demais.;Nada a corrigir.;Curadoria, item 3.5
FL_ROTULO_MUDA_NA_SERIE;Classificação do curso mudou ao longo dos anos;O INEP classificou este mesmo curso de formas diferentes em anos diferentes.;Na maior parte dos casos é o próprio INEP atualizando a classificação. Não muda matrículas, mas muda a categoria em que o curso aparece em cada ano.;Nada a corrigir necessariamente.;Curadoria, item 3.3
FL_CO_CURSO_EM_VARIAS_IES;Código do curso aparece em outra instituição;O mesmo código de curso do INEP aparece também em outra instituição, em outro período.;Pode ser fusão, troca de mantenedora ou reaproveitamento do código. Por isso a história de um curso é seguida por instituição e código juntos, nunca só pelo código.;Nada a corrigir.;Curadoria, item 3.2
FL_MUN_ZERO_3_ANOS;Município sem nenhuma matrícula há três anos ou mais;O município aparece nos dados deste curso por três anos seguidos ou mais, sempre sem matrícula.;É sinal de município cadastrado sem oferta ativa. Não conta como presença do curso.;Conferir se o município ainda faz parte da oferta.;Curadoria, item 2.4
FL_PROXY_OCDE_2017;Curso de 2017 identificado por aproximação;Em 2017 o INEP não usou a classificação CINE. Este curso entrou na base pelo código de Engenharia de Computação da classificação anterior, a OCDE.;É uma aproximação, então a comparação de 2017 com os outros anos não é perfeita.;Nada a corrigir.;Curadoria, item 1.4
FL_EAD_SEM_TERRITORIO;Sem detalhe por município no Censo;O Censo não informou em quais municípios este curso a distância tem alunos.;Só existe o total nacional do curso. Ele aparece nos gráficos por curso e por instituição, mas não pode ser colocado no mapa.;Nada a corrigir. É uma limitação do Censo daquele ano.;Curadoria, item 1.4
