USO;METRICA_REF;NU_ANO_CENSO;DS_TP_MODALIDADE_ENSINO;LINHAS_USADAS;LINHAS_EXCLUIDAS;LINHAS_SEM_DADO;VOLUME_USADO;VOLUME_EXCLUIDO;VOLUME_SEM_DADO;VOLUME_SEM_TERRITORIO;PCT_LINHAS_USADAS;PCT_VOLUME_USADO;PCT_VOLUME_EXCLUIDO
CONTAGEM;linhas;2009;EaD;30;0;0;30.0;0.0;0.0;0.0;100.0;100.0;0.0
CONTAGEM;linhas;2009;Presencial;1937;0;0;1937.0;0.0;0.0;0.0;100.0;100.0;0.0
CONTAGEM;linhas;2010;EaD;38;0;0;38.0;0.0;0.0;0.0;100.0;100.0;0.0
CONTAGEM;linhas;2010;Presencial;2026;0;0;2026.0;0.0;0.0;0.0;100.0;100.0;0.0
CONTAGEM;linhas;2011;EaD;47;0;0;47.0;0.0;0.0;0.0;100.0;100.0;0.0
CONTAGEM;linhas;2011;Presencial;2129;0;0;2129.0;0.0;0.0;0.0;100.0;100.0;0.0
CONTAGEM;linhas;2012;EaD;56;0;0;56.0;0.0;0.0;0.0;100.0;100.0;0.0
CONTAGEM;linhas;2012;Presencial;2253;0;0;2253.0;0.0;0.0;0.0;100.0;100.0;0.0
CONTAGEM;linhas;2013;EaD;69;0;0;69.0;0.0;0.0;0.0;100.0;100.0;0.0
CONTAGEM;linhas;2013;Presencial;2287;0;0;2287.0;0.0;0.0;0.0;100.0;100.0;0.0
CONTAGEM;linhas;2014;EaD;77;0;0;77.0;0.0;0.0;0.0;100.0;100.0;0.0
CONTAGEM;linhas;2014;Presencial;2325;0;0;2325.0;0.0;0.0;0.0;100.0;100.0;0.0
CONTAGEM;linhas;2015;EaD;87;0;0;87.0;0.0;0.0;0.0;100.0;100.0;0.0
CONTAGEM;linhas;2015;Presencial;2352;0;0;2352.0;0.0;0.0;0.0;100.0;100.0;0.0
CONTAGEM;linhas;2016;EaD;92;0;0;92.0;0.0;0.0;0.0;100.0;100.0;0.0
