FLAG;USO;TRATAMENTO;DECISAO
FL_VAGAS_REPETIDAS;CONTAGEM;-;D03
FL_VAGAS_IES_ANO_SUSPEITO;CONTAGEM;-;D03
FL_INSCRITO_IGUAL;CONTAGEM;-;D04
FL_INSCRITO_ZERO;CONTAGEM;-;D07
FL_MAT_ZERO_COM_ING;CONTAGEM;-;D10
FL_MAT_CAI_A_ZERO;CONTAGEM;-;D10
FL_ZERO_LACUNA_50;CONTAGEM;-;D10
FL_SALTO_MAT;CONTAGEM;-;D10
FL_EAD_DISTRIB_ATIPICA;CONTAGEM;-;D02
FL_MUDANCA_DISTRIBUICAO;CONTAGEM;-;D10
FL_NOME_ROTULO_DIVERGENTE;CONTAGEM;-;D10
FL_ROTULO_EM_DEFINICAO;CONTAGEM;-;D10
FL_EAD_MUNICIPIOS_ZERADOS_AMPLA;CONTAGEM;-;D02
FL_EAD_TODOS_MUN_ZERO;CONTAGEM;-;D10
FL_TUDO_ZERO;CONTAGEM;sinalizar;D10
FL_BAIXA_ATIVIDADE;CONTAGEM;sinalizar;D10
FL_INTERDISCIPLINAR;CONTAGEM;sinalizar;D10
FL_ROTULO_MUDA_NA_SERIE;CONTAGEM;-;D10
FL_CO_CURSO_EM_VARIAS_IES;CONTAGEM;-;D10
FL_MUN_ZERO_3_ANOS;CONTAGEM;-;D10
FL_PROXY_OCDE_2017;CONTAGEM;sinalizar;D10
FL_EAD_SEM_TERRITORIO;CONTAGEM;-;D10
FL_VAGAS_REPETIDAS;SERIE_MAT;-;D03
FL_VAGAS_IES_ANO_SUSPEITO;SERIE_MAT;-;D03
FL_INSCRITO_IGUAL;SERIE_MAT;-;D04
FL_INSCRITO_ZERO;SERIE_MAT;-;D07
FL_MAT_ZERO_COM_ING;SERIE_MAT;sinalizar;D10
FL_MAT_CAI_A_ZERO;SERIE_MAT;sinalizar;D10
FL_ZERO_LACUNA_50;SERIE_MAT;sinalizar;D10
FL_SALTO_MAT;SERIE_MAT;sinalizar;D10
FL_EAD_DISTRIB_ATIPICA;SERIE_MAT;-;D02
FL_MUDANCA_DISTRIBUICAO;SERIE_MAT;-;D10
FL_NOME_ROTULO_DIVERGENTE;SERIE_MAT;-;D10
FL_ROTULO_EM_DEFINICAO;SERIE_MAT;-;D10
FL_EAD_MUNICIPIOS_ZERADOS_AMPLA;SERIE_MAT;-;D02
FL_EAD_TODOS_MUN_ZERO;SERIE_MAT;-;D10
FL_TUDO_ZERO;SERIE_MAT;sinalizar;D10
FL_BAIXA_ATIVIDADE;SERIE_MAT;-;D10
FL_INTERDISCIPLINAR;SERIE_MAT;-;D10
FL_ROTULO_MUDA_NA_SERIE;SERIE_MAT;-;D10
FL_CO_CURSO_EM_VARIAS_IES;SERIE_MAT;-;D10
FL_MUN_ZERO_3_ANOS;SERIE_MAT;-;D10
FL_PROXY_OCDE_2017;SERIE_MAT;sinalizar;D10
