NU_ANO_CENSO;CO_IES;NO_IES;CO_CURSO;NO_CURSO;DS_TP_MODALIDADE_ENSINO;CO_MUNICIPIO;NO_MUNICIPIO;SG_UF;CH_CURSO_ANO;FLAG;TITULO;GRAVIDADE;NV;EVIDENCIA;COMO_TRATAMOS
2009;1032;CENTRO UNIVERSITARIO SALESIANO DE SAO PAULO;19354;ANALISE DE SISTEMAS;Presencial;;;;2009|1032|19354;FL_INSCRITO_ZERO;Zero inscritos informados;Alerta;3;Foram informados 0 inscritos, mas o curso teve 1 ingressante.;Fica de fora de: Inscritos nos processos seletivos.
2009;1032;CENTRO UNIVERSITARIO SALESIANO DE SAO PAULO;81070;CURSO SUPERIOR DE TECNOLOGIA EM SOFTWARE LIVRE;Presencial;;;;2009|1032|81070;FL_INSCRITO_ZERO;Zero inscritos informados;Alerta;3;Foram informados 0 inscritos, 0 vagas e 0 ingressantes.;Fica de fora de: Inscritos nos processos seletivos.
2009;1046;UNIAO DAS FACULDADES DOS GRANDES LAGOS  UNILAGO;82748;SISTEMAS DE INFORMACAO;Presencial;;;;2009|1046|82748;FL_INSCRITO_IGUAL;Inscritos iguais às vagas ou aos ingressantes;Atenção;2;Foram informados 100 inscritos, número idêntico ao de vagas (100).;Aparece com aviso em: Inscritos nos processos seletivos.
2009;1058;CENTRO UNIVERSITARIO DA BAHIA;88154;CIENCIA DA COMPUTACAO;Presencial;;;;2009|1058|88154;FL_INSCRITO_IGUAL;Inscritos iguais às vagas ou aos ingressantes;Atenção;2;Foram informados 200 inscritos, número idêntico ao de vagas (200).;Aparece com aviso em: Inscritos nos processos seletivos.
2009;1066;INSTITUTO DE ENSINO E PESQUISA OBJETIVO;58808;CIENCIA DA COMPUTACAO;Presencial;;;;2009|1066|58808;FL_CO_CURSO_EM_VARIAS_IES;Código do curso aparece em outra instituição;Informação;1;"O código 58808 foi usado por 2 instituições diferentes ao longo dos anos: INSTITUTO DE ENSINO E PESQUISA OBJETIVO (2009 a 2019); FACULDADE DE PALMAS (2020 a 2024).";Aparece com aviso em: Evolução de um mesmo curso.
2009;1066;INSTITUTO DE ENSINO E PESQUISA OBJETIVO;72088;CURSO SUPERIOR DE TECNOLOGIA EM REDES DE COMPUTADORES AGRUPAMENTO DE AREAS PROFISSIONAIS INFORMATICA E TELECOMUNICACAO;Presencial;;;;2009|1066|72088;FL_CO_CURSO_EM_VARIAS_IES;Código do curso aparece em outra instituição;Informação;1;"O código 72088 foi usado por 2 instituições diferentes ao longo dos anos: INSTITUTO DE ENSINO E PESQUISA OBJETIVO (2009 a 2019); FACULDADE DE PALMAS (2020 a 2022).";Aparece com aviso em: Evolução de um mesmo curso.
2009;1082;INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DO RIO GRANDE DO NORTE;60938;CURSO SUPERIOR DE TECNOLOGIA EM DESENVOLVIMENTO DE SOFTWARE - Campus Natal-Central;Presencial;;;;2009|1082|60938;FL_INSCRITO_ZERO;Zero inscritos informados;Alerta;3;Foram informados 0 inscritos, 0 vagas e 0 ingressantes.;Fica de fora de: Inscritos nos processos seletivos.
2009;1093;FACULDADE DE CIENCIAS JURIDICAS E GERENCIAIS DE GARCA;46771;SISTEMAS DE INFORMACAO;Presencial;;;;2009|1093|46771;FL_CO_CURSO_EM_VARIAS_IES;Código do curso aparece em outra instituição;Informação;1;"O código 46771 foi usado por 2 instituições diferentes ao longo dos anos: FACULDADE DE CIÊNCIAS JURÍDICAS E GERENCIAIS DE GARÇA (2009 a 2012); FACULDADE DE ENSINO SUPERIOR E FORMAÇÃO INTEGRAL (2013 a 2014).";Aparece com aviso em: Evolução de um mesmo curso.
2009;1096;FACULDADE DE PRESIDENTE EPITACIO  FAPE;48503;CIENCIA DA COMPUTACAO;Presencial;;;;2009|1096|48503;FL_INSCRITO_ZERO;Zero inscritos informados;Alerta;3;Foram informados 0 inscritos, mas o curso teve 1 ingressante e 50 vagas.;Fica de fora de: Inscritos nos processos seletivos.
2009;11;UNIVERSIDADE CATOLICA DE PERNAMBUCO;52973;SISTEMAS DE INFORMACAO  COM ENFASE EM TELEMATICA;Presencial;;;;2009|11|52973;FL_INSCRITO_ZERO;Zero inscritos informados;Alerta;3;Foram informados 0 inscritos, 0 vagas e 0 ingressantes.;Fica de fora de: Inscritos nos processos seletivos.
