NU_ANO_CENSO;CO_IES;NO_IES;N_CURSOS;N_CURSOS_ALERTA;N_CURSOS_ATENCAO;N_CURSOS_INFORMACAO;N_CURSOS_SEM_OBSERVACOES;PCT_CURSOS_COM_ALERTA;PRINCIPAIS_OBSERVACOES;TEXTO_ENTENDA
2009;1;UNIVERSIDADE FEDERAL DE MATO GROSSO;3;0;0;0;3;0.0;;Em 2009, UNIVERSIDADE FEDERAL DE MATO GROSSO tem 3 cursos de Computação na base. Nenhum tem observações.
2009;10;PONTIFICIA UNIVERSIDADE CATOLICA DO PARANA;5;0;0;0;5;0.0;;Em 2009, PONTIFICIA UNIVERSIDADE CATOLICA DO PARANA tem 5 cursos de Computação na base. Nenhum tem observações.
2009;1019;FACULDADE DE CIENCIAS E TECNOLOGIA DE UNAI  FACTU;1;0;0;0;1;0.0;;Em 2009, FACULDADE DE CIENCIAS E TECNOLOGIA DE UNAI  FACTU tem 1 curso de Computação na base. Nenhum tem observações.
2009;1027;UNIVERSIDADE ESTADUAL DO NORTE FLUMINENSE DARCY RIBEIRO;1;0;0;0;1;0.0;;Em 2009, UNIVERSIDADE ESTADUAL DO NORTE FLUMINENSE DARCY RIBEIRO tem 1 curso de Computação na base. Nenhum tem observações.
2009;1028;UNIVERSIDADE ESTADUAL DE MATO GROSSO DO SUL;2;0;0;0;2;0.0;;Em 2009, UNIVERSIDADE ESTADUAL DE MATO GROSSO DO SUL tem 2 cursos de Computação na base. Nenhum tem observações.
2009;1032;CENTRO UNIVERSITARIO SALESIANO DE SAO PAULO;5;2;0;0;3;40.0;Zero inscritos informados (2 cursos);Em 2009, CENTRO UNIVERSITARIO SALESIANO DE SAO PAULO tem 5 cursos de Computação na base. 2 ficam de fora de algum gráfico. Principais observações: Zero inscritos informados (2 cursos).
2009;1036;UNIVERSIDADE DO ESTADO DE MINAS GERAIS;1;0;0;0;1;0.0;;Em 2009, UNIVERSIDADE DO ESTADO DE MINAS GERAIS tem 1 curso de Computação na base. Nenhum tem observações.
2009;1038;FACULDADES INTEGRADAS DE TRES LAGOAS;1;0;0;0;1;0.0;;Em 2009, FACULDADES INTEGRADAS DE TRES LAGOAS tem 1 curso de Computação na base. Nenhum tem observações.
2009;1041;CENTRO UNIVERSITARIO UNIVATES;2;0;0;0;2;0.0;;Em 2009, CENTRO UNIVERSITARIO UNIVATES tem 2 cursos de Computação na base. Nenhum tem observações.
2009;1042;UNIVERSIDADE POSITIVO;4;0;0;0;4;0.0;;Em 2009, UNIVERSIDADE POSITIVO tem 4 cursos de Computação na base. Nenhum tem observações.
2009;1043;CENTRO UNIVERSITARIO HERMINIO OMETTO DE ARARAS;3;0;0;0;3;0.0;;Em 2009, CENTRO UNIVERSITARIO HERMINIO OMETTO DE ARARAS tem 3 cursos de Computação na base. Nenhum tem observações.
2009;1045;CENTRO UNIVERSITARIO ANHANGUERA;1;0;0;0;1;0.0;;Em 2009, CENTRO UNIVERSITARIO ANHANGUERA tem 1 curso de Computação na base. Nenhum tem observações.
2009;1046;UNIAO DAS FACULDADES DOS GRANDES LAGOS  UNILAGO;1;0;1;0;0;0.0;Inscritos iguais às vagas ou aos ingressantes (1 curso);Em 2009, UNIAO DAS FACULDADES DOS GRANDES LAGOS  UNILAGO tem 1 curso de Computação na base. 1 aparece com aviso. Principais observações: Inscritos iguais às vagas ou aos ingressantes (1 curso).
2009;1049;INSTITUTO DE ENSINO SUPERIOR FUCAPI;3;0;0;0;3;0.0;;Em 2009, INSTITUTO DE ENSINO SUPERIOR FUCAPI tem 3 cursos de Computação na base. Nenhum tem observações.
2009;1053;FACULDADE DE TECNOLOGIA E CIENCIAS DE FEIRA DE SANTANA;1;0;0;0;1;0.0;;Em 2009, FACULDADE DE TECNOLOGIA E CIENCIAS DE FEIRA DE SANTANA tem 1 curso de Computação na base. Nenhum tem observações.
2009;1058;CENTRO UNIVERSITARIO DA BAHIA;3;0;1;0;2;0.0;Inscritos iguais às vagas ou aos ingressantes (1 curso);Em 2009, CENTRO UNIVERSITARIO DA BAHIA tem 3 cursos de Computação na base. 1 aparece com aviso. Principais observações: Inscritos iguais às vagas ou aos ingressantes (1 curso).
2009;1059;FACULDADE LOURENCO FILHO;2;0;0;0;2;0.0;;Em 2009, FACULDADE LOURENCO FILHO tem 2 cursos de Computação na base. Nenhum tem observações.
2009;1060;INSTITUTO DE EDUCACAO SUPERIOR DE BRASILIA  IESB;2;0;0;0;2;0.0;;Em 2009, INSTITUTO DE EDUCACAO SUPERIOR DE BRASILIA  IESB tem 2 cursos de Computação na base. Nenhum tem observações.
2009;1066;INSTITUTO DE ENSINO E PESQUISA OBJETIVO;2;0;0;2;0;0.0;Código do curso aparece em outra instituição (2 cursos);Em 2009, INSTITUTO DE ENSINO E PESQUISA OBJETIVO tem 2 cursos de Computação na base. 2 têm só nota informativa. Principais observações: Código do curso aparece em outra instituição (2 cursos).
2009;107;UNIVERSIDADE FEDERAL DE SAO JOAO DEL REI;1;0;0;0;1;0.0;;Em 2009, UNIVERSIDADE FEDERAL DE SAO JOAO DEL REI tem 1 curso de Computação na base. Nenhum tem observações.
2009;1070;INSTITUTO DE ENSINO SUPERIOR CENECISTA;1;0;0;0;1;0.0;;Em 2009, INSTITUTO DE ENSINO SUPERIOR CENECISTA tem 1 curso de Computação na base. Nenhum tem observações.
2009;1075;INSTITUTO DE EDUCACAO SUPERIOR DA PARAIBA;1;0;0;0;1;0.0;;Em 2009, INSTITUTO DE EDUCACAO SUPERIOR DA PARAIBA tem 1 curso de Computação na base. Nenhum tem observações.
2009;1077;FACULDADE INTEGRADA DO RECIFE;1;0;0;0;1;0.0;;Em 2009, FACULDADE INTEGRADA DO RECIFE tem 1 curso de Computação na base. Nenhum tem observações.
2009;1078;FACULDADE INTEGRADO DE CAMPO MOURAO;1;0;0;0;1;0.0;;Em 2009, FACULDADE INTEGRADO DE CAMPO MOURAO tem 1 curso de Computação na base. Nenhum tem observações.
2009;1082;INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DO RIO GRANDE DO NORTE;3;1;0;0;2;33.3;Zero inscritos informados (1 curso);Em 2009, INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DO RIO GRANDE DO NORTE tem 3 cursos de Computação na base. 1 fica de fora de algum gráfico. Principais observações: Zero inscritos informados (1 curso).
2009;1085;FACULDADE METODISTA DE SANTA MARIA;1;0;0;0;1;0.0;;Em 2009, FACULDADE METODISTA DE SANTA MARIA tem 1 curso de Computação na base. Nenhum tem observações.
2009;1092;FACULDADES INTEGRADAS DE BAURU;1;0;0;0;1;0.0;;Em 2009, FACULDADES INTEGRADAS DE BAURU tem 1 curso de Computação na base. Nenhum tem observações.
2009;1093;FACULDADE DE CIENCIAS JURIDICAS E GERENCIAIS DE GARCA;1;0;0;1;0;0.0;Código do curso aparece em outra instituição (1 curso);Em 2009, FACULDADE DE CIENCIAS JURIDICAS E GERENCIAIS DE GARCA tem 1 curso de Computação na base. 1 tem só nota informativa. Principais observações: Código do curso aparece em outra instituição (1 curso).
2009;1096;FACULDADE DE PRESIDENTE EPITACIO  FAPE;1;1;0;0;0;100.0;Zero inscritos informados (1 curso);Em 2009, FACULDADE DE PRESIDENTE EPITACIO  FAPE tem 1 curso de Computação na base. 1 fica de fora de algum gráfico. Principais observações: Zero inscritos informados (1 curso).
2009;11;UNIVERSIDADE CATOLICA DE PERNAMBUCO;2;1;0;0;1;50.0;Zero inscritos informados (1 curso);Em 2009, UNIVERSIDADE CATOLICA DE PERNAMBUCO tem 2 cursos de Computação na base. 1 fica de fora de algum gráfico. Principais observações: Zero inscritos informados (1 curso).
