MOTIVO_CURADORIA;CO_IES;NO_IES;CO_CURSO;NO_CURSO;DS_TP_MODALIDADE_ENSINO;DS_TP_GRAU_ACADEMICO;CO_ROTULO_AREA;NO_ROTULO_AREA;DS_CLASSIFICACAO_AREA;DS_CRITERIO_ESCOPO;TIPO_INFERIDO_PELO_NOME;RESULTADO_CURADORIA;IMPACTO_NO_RECORTE;ACAO_RECOMENDADA;ANO_INICIAL;ANO_FINAL;QT_ANOS;STATUS_VERIFICACAO_FONTE
"divergencia aparente entre nome e rotulo; conferir a fonte e manter os valores declarados";590;UNIVERSIDADE FEDERAL RURAL DA AMAZÔNIA;1110857;SISTEMAS DE INFORMAÇÃO;Presencial;Bacharelado;0614C01;Ciência da computação;CINE Brasil;CINE Brasil área geral 6 Computação/TIC;SISTEMAS DE INFORMACAO;rotulo da fonte diverge do nome, mas ambos pertencem ao escopo;nenhum;"manter; usar NO_CURSO como nome e NO_ROTULO_AREA como classificacao declarada";2018;2019;2;"pendente; triagem automatica nao confirma preenchimento da IES"
"divergencia aparente entre nome e rotulo; conferir a fonte e manter os valores declarados";590;UNIVERSIDADE FEDERAL RURAL DA AMAZÔNIA;1110857;SISTEMAS DE INFORMAÇÃO;Presencial;Bacharelado;0614C01;Ciência da computação;CINE;CINE área geral 6 Computação/TIC;SISTEMAS DE INFORMACAO;rotulo da fonte diverge do nome, mas ambos pertencem ao escopo;nenhum;"manter; usar NO_CURSO como nome e NO_ROTULO_AREA como classificacao declarada";2020;2020;1;"pendente; triagem automatica nao confirma preenchimento da IES"
"divergencia aparente entre nome e rotulo; conferir a fonte e manter os valores declarados";590;UNIVERSIDADE FEDERAL RURAL DA AMAZÔNIA;1110857;Sistemas De Informação;Presencial;Bacharelado;0614C01;Ciência da computação;CINE;CINE área geral 6 Computação/TIC;SISTEMAS DE INFORMACAO;rotulo da fonte diverge do nome, mas ambos pertencem ao escopo;nenhum;"manter; usar NO_CURSO como nome e NO_ROTULO_AREA como classificacao declarada";2021;2023;3;"pendente; triagem automatica nao confirma preenchimento da IES"
"divergencia aparente entre nome e rotulo; conferir a fonte e manter os valores declarados";590;UNIVERSIDADE FEDERAL RURAL DA AMAZÔNIA;1110857;Sistemas De Informação;Presencial;Bacharelado;0613C01;Ciência da computação;CINE;CINE área geral 6 Computação/TIC;SISTEMAS DE INFORMACAO;rotulo da fonte diverge do nome, mas ambos pertencem ao escopo;nenhum;"manter; usar NO_CURSO como nome e NO_ROTULO_AREA como classificacao declarada";2024;2024;1;"pendente; triagem automatica nao confirma preenchimento da IES"
"divergencia aparente entre nome e rotulo; conferir a fonte e manter os valores declarados";4024;FACULDADE DE TECNOLOGIA DE MOCOCA;114270;CURSO SUPERIOR DE TECNOLOGIA EM INFORMATICA ENFASE EM BANCO DE DADOS E REDE DE COMPUTADORES;Presencial;Tecnológico;0614C01;Ciência da computação;CINE;CINE área geral 6 Computação/TIC;BANCO DE DADOS;compativel com nome historico ou nome composto;nenhum;"manter; usar NO_CURSO como nome e NO_ROTULO_AREA como classificacao declarada";2009;2009;1;"pendente; triagem automatica nao confirma preenchimento da IES"
"divergencia aparente entre nome e rotulo; conferir a fonte e manter os valores declarados";4;UNIVERSIDADE FEDERAL DO AMAZONAS;122634;ENGENHARIA DE SOFTWARE;Presencial;Bacharelado;0615S02;Sistemas de informação;CINE Brasil;CINE Brasil área geral 6 Computação/TIC;ENGENHARIA DE SOFTWARE;"mudanca historica de nome; preservar o valor de cada ano";nenhum;"manter; usar NO_CURSO como nome e NO_ROTULO_AREA como classificacao declarada";2019;2019;1;"pendente; triagem automatica nao confirma preenchimento da IES"
"divergencia aparente entre nome e rotulo; conferir a fonte e manter os valores declarados";4;UNIVERSIDADE FEDERAL DO AMAZONAS;122634;ENGENHARIA DE SOFTWARE;Presencial;Bacharelado;0615S02;Sistemas de informação;CINE;CINE área geral 6 Computação/TIC;ENGENHARIA DE SOFTWARE;"mudanca historica de nome; preservar o valor de cada ano";nenhum;"manter; usar NO_CURSO como nome e NO_ROTULO_AREA como classificacao declarada";2020;2020;1;"pendente; triagem automatica nao confirma preenchimento da IES"
"divergencia aparente entre nome e rotulo; conferir a fonte e manter os valores declarados";4;UNIVERSIDADE FEDERAL DO AMAZONAS;122634;Engenharia De Software;Presencial;Bacharelado;0615S02;Sistemas de informação;CINE;CINE área geral 6 Computação/TIC;ENGENHARIA DE SOFTWARE;"mudanca historica de nome; preservar o valor de cada ano";nenhum;"manter; usar NO_CURSO como nome e NO_ROTULO_AREA como classificacao declarada";2021;2023;3;"pendente; triagem automatica nao confirma preenchimento da IES"
"divergencia aparente entre nome e rotulo; conferir a fonte e manter os valores declarados";4;UNIVERSIDADE FEDERAL DO AMAZONAS;122634;Engenharia De Software;Presencial;Bacharelado;0613S01;Sistemas de informação;CINE;CINE área geral 6 Computação/TIC;ENGENHARIA DE SOFTWARE;"mudanca historica de nome; preservar o valor de cada ano";nenhum;"manter; usar NO_CURSO como nome e NO_ROTULO_AREA como classificacao declarada";2024;2024;1;"pendente; triagem automatica nao confirma preenchimento da IES"
"divergencia aparente entre nome e rotulo; conferir a fonte e manter os valores declarados";19476;EMGE - ESCOLA DE ENGENHARIA;1292285;CIÊNCIA DA COMPUTAÇÃO;Presencial;Bacharelado;0714E04;Engenharia de computação (DCN Engenharia);CINE Brasil;CINE Brasil rótulo 0714E04 Engenharia de Computação;CIENCIA DA COMPUTACAO;rotulo da fonte diverge do nome, mas ambos pertencem ao escopo;nenhum;"manter; usar NO_CURSO como nome e NO_ROTULO_AREA como classificacao declarada";2019;2019;1;"pendente; triagem automatica nao confirma preenchimento da IES"
