MOTIVO_CURADORIA;CO_IES;CO_CURSO;ANO_INICIAL;ANO_FINAL;NO_IES_LISTA;NO_CURSO_LISTA;ROTULOS_CINE_NA_SERIE;ROTULOS_CANONICOS;DECISAO_CURADORIA;STATUS_VERIFICACAO_FONTE
mudancas reais apos unificar as tres descricoes de Engenharia de Computacao;571;1126727;2011;2024;UNIVERSIDADE FEDERAL DO PARANÁ;INFORMÁTICA BIOMÉDICA | Informática Biomédica;Computação e Tecnologias da Informação e Comunicação (TIC) em biociências e saúde | Programas interdisciplinares abrangendo computação e Tecnologias da Informação e Comunicação (TIC);COMPUTACAO E TECNOLOGIAS DA INFORMACAO E COMUNICACAO TIC EM BIOCIENCIAS E SAUDE | PROGRAMAS INTERDISCIPLINARES ABRANGENDO COMPUTACAO E TECNOLOGIAS DA INFORMACAO E COMUNICACAO TIC;"manter; a classificacao declarada em cada ano pode mudar sem alterar o recorte";"pendente; triagem automatica nao confirma preenchimento da IES"
mudancas reais apos unificar as tres descricoes de Engenharia de Computacao;717;1265544;2015;2024;FUNDAÇÃO UNIVERSIDADE FEDERAL DE CIÊNCIAS DA SAÚDE DE PORTO ALEGRE;INFORMÁTICA BIOMÉDICA | Informática Biomédica;Computação e Tecnologias da Informação e Comunicação (TIC) em biociências e saúde | Programas interdisciplinares abrangendo computação e Tecnologias da Informação e Comunicação (TIC);COMPUTACAO E TECNOLOGIAS DA INFORMACAO E COMUNICACAO TIC EM BIOCIENCIAS E SAUDE | PROGRAMAS INTERDISCIPLINARES ABRANGENDO COMPUTACAO E TECNOLOGIAS DA INFORMACAO E COMUNICACAO TIC;"manter; a classificacao declarada em cada ano pode mudar sem alterar o recorte";"pendente; triagem automatica nao confirma preenchimento da IES"
mudancas reais apos unificar as tres descricoes de Engenharia de Computacao;19476;1292285;2019;2021;EMGE - ESCOLA DE ENGENHARIA;CIÊNCIA DA COMPUTAÇÃO | Ciência Da Computação;Ciência da computação | Engenharia de computação (DCN Engenharia);CIENCIA DA COMPUTACAO | ENGENHARIA DE COMPUTACAO;"manter; a classificacao declarada em cada ano pode mudar sem alterar o recorte";"pendente; triagem automatica nao confirma preenchimento da IES"
mudancas reais apos unificar as tres descricoes de Engenharia de Computacao;583;1304876;2015;2024;UNIVERSIDADE FEDERAL DO CEARÁ;DESIGN DIGITAL | Design Digital;Criação digital | Programas interdisciplinares abrangendo computação e Tecnologias da Informação e Comunicação (TIC);CRIACAO DIGITAL | PROGRAMAS INTERDISCIPLINARES ABRANGENDO COMPUTACAO E TECNOLOGIAS DA INFORMACAO E COMUNICACAO TIC;"manter; a classificacao declarada em cada ano pode mudar sem alterar o recorte";"pendente; triagem automatica nao confirma preenchimento da IES"
mudancas reais apos unificar as tres descricoes de Engenharia de Computacao;605;1313209;2019;2024;UNIVERSIDADE MUNICIPAL DE SÃO CAETANO DO SUL;SEGURANÇA DA INFORMAÇÃO | Segurança Cibernética | Segurança Da Informação;Defesa cibernética | Segurança da informação;DEFESA CIBERNETICA | SEGURANCA DA INFORMACAO;"manter; a classificacao declarada em cada ano pode mudar sem alterar o recorte";"pendente; triagem automatica nao confirma preenchimento da IES"
mudancas reais apos unificar as tres descricoes de Engenharia de Computacao;583;1330754;2015;2024;UNIVERSIDADE FEDERAL DO CEARÁ;SISTEMAS E MÍDIAS DIGITAIS | Sistemas E Mídias Digitais;Criação digital | Programas interdisciplinares abrangendo computação e Tecnologias da Informação e Comunicação (TIC);CRIACAO DIGITAL | PROGRAMAS INTERDISCIPLINARES ABRANGENDO COMPUTACAO E TECNOLOGIAS DA INFORMACAO E COMUNICACAO TIC;"manter; a classificacao declarada em cada ano pode mudar sem alterar o recorte";"pendente; triagem automatica nao confirma preenchimento da IES"
mudancas reais apos unificar as tres descricoes de Engenharia de Computacao;534;1333348;2018;2024;ESCOLA BAHIANA DE MEDICINA E SAÚDE PÚBLICA;INFORMÁTICA EM SAÚDE | Informática Em Saúde;Computação e Tecnologias da Informação e Comunicação (TIC) em biociências e saúde | Programas interdisciplinares abrangendo computação e Tecnologias da Informação e Comunicação (TIC);COMPUTACAO E TECNOLOGIAS DA INFORMACAO E COMUNICACAO TIC EM BIOCIENCIAS E SAUDE | PROGRAMAS INTERDISCIPLINARES ABRANGENDO COMPUTACAO E TECNOLOGIAS DA INFORMACAO E COMUNICACAO TIC;"manter; a classificacao declarada em cada ano pode mudar sem alterar o recorte";"pendente; triagem automatica nao confirma preenchimento da IES"
mudancas reais apos unificar as tres descricoes de Engenharia de Computacao;10;1428437;2018;2024;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ;BIG DATA E INTELIGÊNCIA ANALÍTICA | Big Data E Inteligência Analítica;Ciência de dados | Programas interdisciplinares abrangendo computação e Tecnologias da Informação e Comunicação (TIC);CIENCIA DE DADOS | PROGRAMAS INTERDISCIPLINARES ABRANGENDO COMPUTACAO E TECNOLOGIAS DA INFORMACAO E COMUNICACAO TIC;"manter; a classificacao declarada em cada ano pode mudar sem alterar o recorte";"pendente; triagem automatica nao confirma preenchimento da IES"
mudancas reais apos unificar as tres descricoes de Engenharia de Computacao;1060;1438794;2018;2024;CENTRO UNIVERSITÁRIO DO INSTITUTO DE EDUCAÇÃO SUPERIOR DE BRASÍLIA - IESB;CIÊNCIA DE DADOS E INTELIGÊNCIA ARTIFICIAL | Ciência De Dados E Inteligência Artificial;Ciência de dados | Programas interdisciplinares abrangendo computação e Tecnologias da Informação e Comunicação (TIC);CIENCIA DE DADOS | PROGRAMAS INTERDISCIPLINARES ABRANGENDO COMPUTACAO E TECNOLOGIAS DA INFORMACAO E COMUNICACAO TIC;"manter; a classificacao declarada em cada ano pode mudar sem alterar o recorte";"pendente; triagem automatica nao confirma preenchimento da IES"
mudancas reais apos unificar as tres descricoes de Engenharia de Computacao;17953;1441975;2018;2024;Faculdade de Tecnologia de Pompeia - Shunji Nishimura;BIG DATA NO AGRONEGÓCIO | Big Data No Agronegócio;Agrocomputação | Programas interdisciplinares abrangendo computação e Tecnologias da Informação e Comunicação (TIC);AGROCOMPUTACAO | PROGRAMAS INTERDISCIPLINARES ABRANGENDO COMPUTACAO E TECNOLOGIAS DA INFORMACAO E COMUNICACAO TIC;"manter; a classificacao declarada em cada ano pode mudar sem alterar o recorte";"pendente; triagem automatica nao confirma preenchimento da IES"
