MOTIVO_CURADORIA;CO_CURSO;ANO_INICIAL;ANO_FINAL;QT_IES;CO_IES_LISTA;NO_IES_LISTA;NO_CURSO_LISTA;DECISAO_CURADORIA;STATUS_VERIFICACAO_FONTE
o mesmo numero de CO_CURSO aparece em IES diferentes ao longo da serie, sem sobreposicao anual;101161;2009;2016;2;2451 | 3310;FACULDADE DE TECNOLOGIA DA AMAZONIA | FACULDADES INTEGRADAS IPIRANGA;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS | CURSO SUPERIOR DE TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMASAGRUPAMENTO DE AREAS PROFISSIONAIS INFORMATICA E TELECOMUNICACOES;"nao relacionar anos apenas por CO_CURSO; usar CO_IES + CO_CURSO";"pendente; triagem automatica nao confirma preenchimento da IES"
o mesmo numero de CO_CURSO aparece em IES diferentes ao longo da serie, sem sobreposicao anual;1011836;2010;2020;2;11563 | 1427;CENTRO UNIVERSITÁRIO DA SERRA GAÚCHA | FACULDADE DE TECNOLOGIA DA SERRA GAÚCHA - CAXIAS DO SUL;SEGURANÇA DA INFORMAÇÃO;"nao relacionar anos apenas por CO_CURSO; usar CO_IES + CO_CURSO";"pendente; triagem automatica nao confirma preenchimento da IES"
o mesmo numero de CO_CURSO aparece em IES diferentes ao longo da serie, sem sobreposicao anual;101710;2009;2024;2;15450 | 308;Centro Universitário Única | Faculdade Presidente Antônio Carlos de Ipatinga | Faculdade Única de Ipatinga | UNIVERSIDADE PRESIDENTE ANTONIO CARLOS;CIENCIA DA COMPUTACAO | CIÊNCIA DA COMPUTAÇÃO | Ciência Da Computação;"nao relacionar anos apenas por CO_CURSO; usar CO_IES + CO_CURSO";"pendente; triagem automatica nao confirma preenchimento da IES"
o mesmo numero de CO_CURSO aparece em IES diferentes ao longo da serie, sem sobreposicao anual;102276;2009;2022;2;14161 | 308;Faculdade Presidente Antônio Carlos de Contagem | Faculdade Única de Contagem | UNIVERSIDADE PRESIDENTE ANTONIO CARLOS;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS | Análise E Desenvolvimento De Sistemas | CURSO SUPERIOR DE TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS;"nao relacionar anos apenas por CO_CURSO; usar CO_IES + CO_CURSO";"pendente; triagem automatica nao confirma preenchimento da IES"
o mesmo numero de CO_CURSO aparece em IES diferentes ao longo da serie, sem sobreposicao anual;1050053;2010;2024;2;12847 | 1657;CENTRO UNIVERSITÁRIO UNISEP | FACULDADE EDUCACIONAL DE FRANCISCO BELTRÃO;SISTEMAS DE INFORMAÇÃO | Sistemas De Informação;"nao relacionar anos apenas por CO_CURSO; usar CO_IES + CO_CURSO";"pendente; triagem automatica nao confirma preenchimento da IES"
o mesmo numero de CO_CURSO aparece em IES diferentes ao longo da serie, sem sobreposicao anual;105302;2009;2024;3;215 | 376 | 457;CENTRO UNIVERSITÁRIO ANHANGUERA DE SÃO PAULO | UNIVERSIDADE ANHANGUERA DE SÃO PAULO | UNIVERSIDADE ANHANGUERA DE SÃO PAULO - UNIAN-SP | UNIVERSIDADE DO GRANDE ABC;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS | Análise E Desenvolvimento De Sistemas | CURSO SUPERIOR DE TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS;"nao relacionar anos apenas por CO_CURSO; usar CO_IES + CO_CURSO";"pendente; triagem automatica nao confirma preenchimento da IES"
o mesmo numero de CO_CURSO aparece em IES diferentes ao longo da serie, sem sobreposicao anual;105688;2009;2020;2;1198 | 880;FACULDADE DE CIENCIAS E TECNOLOGIA DO PARANA | FACULDADE DE CIÊNCIAS E TECNOLOGIA DO PARANÁ | FACULDADE DE CIÊNCIAS SOCIAIS E APLICADAS DO PARANÁ;SISTEMA DE INFORMAÇÃO | SISTEMAS DE INFORMACAO;"nao relacionar anos apenas por CO_CURSO; usar CO_IES + CO_CURSO";"pendente; triagem automatica nao confirma preenchimento da IES"
o mesmo numero de CO_CURSO aparece em IES diferentes ao longo da serie, sem sobreposicao anual;106134;2009;2021;2;1437 | 707;CENTRO UNIVERSITÁRIO CENTRAL PAULISTA | ESCOLA SUPERIOR DE TECNOLOGIA E EDUCACAO DE RIO CLARO | ESCOLA SUPERIOR DE TECNOLOGIA E EDUCAÇÃO DE RIO CLARO;SISTEMAS DE INFORMACAO | SISTEMAS DE INFORMAÇÃO | Sistemas De Informação;"nao relacionar anos apenas por CO_CURSO; usar CO_IES + CO_CURSO";"pendente; triagem automatica nao confirma preenchimento da IES"
o mesmo numero de CO_CURSO aparece em IES diferentes ao longo da serie, sem sobreposicao anual;107574;2009;2022;2;3768 | 3772;FACULDADE DE TECNOLOGIA PASTOR DOHMS | Faculdade IBGEN;CURSO SUPERIOR DE TECNOLOGIA EM REDES DE COMPUTADORESEIXO TECNOLOGICOINFORMACAO E COMUNICACAO | REDES DE COMPUTADORES | Redes De Computadores;"nao relacionar anos apenas por CO_CURSO; usar CO_IES + CO_CURSO";"pendente; triagem automatica nao confirma preenchimento da IES"
o mesmo numero de CO_CURSO aparece em IES diferentes ao longo da serie, sem sobreposicao anual;107576;2009;2022;2;3768 | 3772;FACULDADE DE TECNOLOGIA PASTOR DOHMS | Faculdade IBGEN;CURSO SUPERIOR DE TECNOLOGIA EM SISTEMAS PARA INTERNETEIXO TECNOLOGICO INFORMACAO E COMUNICACAO | SISTEMAS PARA INTERNET | Sistemas Para Internet;"nao relacionar anos apenas por CO_CURSO; usar CO_IES + CO_CURSO";"pendente; triagem automatica nao confirma preenchimento da IES"
