MOTIVO_CURADORIA;NU_ANO_CENSO;CO_IES;NO_IES;N_CURSOS_COMPUTACAO;VALOR_VAGAS;N_CURSOS_COM_ESSE_VALOR;TOTAL_DECLARADO_NESSES_CURSOS;DECISAO_CURADORIA;STATUS_VERIFICACAO_FONTE
mesmo valor de vagas aparece em pelo menos quatro cursos da IES;2009;322;UNIVERSIDADE PAULISTA;82;230;46;10580;manter: repeticao de capacidade planejada nao comprova duplicidade;"pendente; triagem automatica nao confirma preenchimento da IES"
mesmo valor de vagas aparece em pelo menos quatro cursos da IES;2009;1741;FACULDADE DE TECNOLOGIA INTERAMERICA;11;200;11;2200;manter: repeticao de capacidade planejada nao comprova duplicidade;"pendente; triagem automatica nao confirma preenchimento da IES"
mesmo valor de vagas aparece em pelo menos quatro cursos da IES;2009;47;UNIVERSIDADE ESTADUAL DE GOIAS;12;40;11;440;manter: repeticao de capacidade planejada nao comprova duplicidade;"pendente; triagem automatica nao confirma preenchimento da IES"
mesmo valor de vagas aparece em pelo menos quatro cursos da IES;2009;221;UNIVERSIDADE CRUZEIRO DO SUL;14;90;10;900;manter: repeticao de capacidade planejada nao comprova duplicidade;"pendente; triagem automatica nao confirma preenchimento da IES"
mesmo valor de vagas aparece em pelo menos quatro cursos da IES;2009;163;UNIVERSIDADE ESTACIO DE SA;36;80;8;640;manter: repeticao de capacidade planejada nao comprova duplicidade;"pendente; triagem automatica nao confirma preenchimento da IES"
mesmo valor de vagas aparece em pelo menos quatro cursos da IES;2009;308;UNIVERSIDADE PRESIDENTE ANTONIO CARLOS;18;60;7;420;manter: repeticao de capacidade planejada nao comprova duplicidade;"pendente; triagem automatica nao confirma preenchimento da IES"
mesmo valor de vagas aparece em pelo menos quatro cursos da IES;2009;521;UNIVERSIDADE DE MOGI DAS CRUZES;8;480;7;3360;manter: repeticao de capacidade planejada nao comprova duplicidade;"pendente; triagem automatica nao confirma preenchimento da IES"
mesmo valor de vagas aparece em pelo menos quatro cursos da IES;2009;663;UNIVERSIDADE SALGADO DE OLIVEIRA;11;600;7;4200;manter: repeticao de capacidade planejada nao comprova duplicidade;"pendente; triagem automatica nao confirma preenchimento da IES"
mesmo valor de vagas aparece em pelo menos quatro cursos da IES;2009;338;PONTIFICIA UNIVERSIDADE CATOLICA DE MINAS GERAIS;10;120;6;720;manter: repeticao de capacidade planejada nao comprova duplicidade;"pendente; triagem automatica nao confirma preenchimento da IES"
mesmo valor de vagas aparece em pelo menos quatro cursos da IES;2009;457;UNIVERSIDADE BANDEIRANTE DE SAO PAULO;18;90;6;540;manter: repeticao de capacidade planejada nao comprova duplicidade;"pendente; triagem automatica nao confirma preenchimento da IES"
mesmo valor de vagas aparece em pelo menos quatro cursos da IES;2009;802;CENTRO UNIVERSITARIO CARIOCA;8;50;6;300;manter: repeticao de capacidade planejada nao comprova duplicidade;"pendente; triagem automatica nao confirma preenchimento da IES"
mesmo valor de vagas aparece em pelo menos quatro cursos da IES;2009;20;UNIVERSIDADE DE PASSO FUNDO;11;40;5;200;manter: repeticao de capacidade planejada nao comprova duplicidade;"pendente; triagem automatica nao confirma preenchimento da IES"
mesmo valor de vagas aparece em pelo menos quatro cursos da IES;2009;374;CENTRO UNIVERSITARIO DAS FACULDADES METROPOLITANAS UNIDAS;7;100;5;500;manter: repeticao de capacidade planejada nao comprova duplicidade;"pendente; triagem automatica nao confirma preenchimento da IES"
mesmo valor de vagas aparece em pelo menos quatro cursos da IES;2009;423;UNIVERSIDADE REGIONAL INTEGRADA DO ALTO URUGUAI E DAS MISSOES;7;50;5;250;manter: repeticao de capacidade planejada nao comprova duplicidade;"pendente; triagem automatica nao confirma preenchimento da IES"
mesmo valor de vagas aparece em pelo menos quatro cursos da IES;2009;441;UNIVERSIDADE DO CONTESTADO;7;50;5;250;manter: repeticao de capacidade planejada nao comprova duplicidade;"pendente; triagem automatica nao confirma preenchimento da IES"
mesmo valor de vagas aparece em pelo menos quatro cursos da IES;2009;449;UNIVERSIDADE LUTERANA DO BRASIL;12;100;5;500;manter: repeticao de capacidade planejada nao comprova duplicidade;"pendente; triagem automatica nao confirma preenchimento da IES"
mesmo valor de vagas aparece em pelo menos quatro cursos da IES;2009;793;CENTRO UNIVERSITARIO RADIAL;11;300;5;1500;manter: repeticao de capacidade planejada nao comprova duplicidade;"pendente; triagem automatica nao confirma preenchimento da IES"
mesmo valor de vagas aparece em pelo menos quatro cursos da IES;2009;1422;CENTRO UNIVERSITARIO DO NORTE;6;100;4;400;manter: repeticao de capacidade planejada nao comprova duplicidade;"pendente; triagem automatica nao confirma preenchimento da IES"
mesmo valor de vagas aparece em pelo menos quatro cursos da IES;2009;1872;FACULDADES INTEGRADAS SANTA CRUZ DE CURITIBA;4;150;4;600;manter: repeticao de capacidade planejada nao comprova duplicidade;"pendente; triagem automatica nao confirma preenchimento da IES"
mesmo valor de vagas aparece em pelo menos quatro cursos da IES;2009;2145;FACULDADE INFORIUM DE TECNOLOGIA;5;200;4;800;manter: repeticao de capacidade planejada nao comprova duplicidade;"pendente; triagem automatica nao confirma preenchimento da IES"
mesmo valor de vagas aparece em pelo menos quatro cursos da IES;2009;267;FACULDADES INTEGRADAS ESPIRITO SANTENSES;5;100;4;400;manter: repeticao de capacidade planejada nao comprova duplicidade;"pendente; triagem automatica nao confirma preenchimento da IES"
mesmo valor de vagas aparece em pelo menos quatro cursos da IES;2009;417;UNIVERSIDADE CIDADE DE SAO PAULO;5;120;4;480;manter: repeticao de capacidade planejada nao comprova duplicidade;"pendente; triagem automatica nao confirma preenchimento da IES"
mesmo valor de vagas aparece em pelo menos quatro cursos da IES;2009;456;CENTRO UNIVERSITARIO SANTANNA;6;210;4;840;manter: repeticao de capacidade planejada nao comprova duplicidade;"pendente; triagem automatica nao confirma preenchimento da IES"
mesmo valor de vagas aparece em pelo menos quatro cursos da IES;2009;513;UNIVERSIDADE VALE DO RIO DOCE;4;40;4;160;manter: repeticao de capacidade planejada nao comprova duplicidade;"pendente; triagem automatica nao confirma preenchimento da IES"
mesmo valor de vagas aparece em pelo menos quatro cursos da IES;2009;5387;FACULDADE IMPACTA DE TECNOLOGIA;4;150;4;600;manter: repeticao de capacidade planejada nao comprova duplicidade;"pendente; triagem automatica nao confirma preenchimento da IES"
mesmo valor de vagas aparece em pelo menos quatro cursos da IES;2009;582;UNIVERSIDADE FEDERAL DE SANTA MARIA;5;40;4;160;manter: repeticao de capacidade planejada nao comprova duplicidade;"pendente; triagem automatica nao confirma preenchimento da IES"
mesmo valor de vagas aparece em pelo menos quatro cursos da IES;2009;588;UNIVERSIDADE TECNOLOGICA FEDERAL DO PARANA;17;88;4;352;manter: repeticao de capacidade planejada nao comprova duplicidade;"pendente; triagem automatica nao confirma preenchimento da IES"
mesmo valor de vagas aparece em pelo menos quatro cursos da IES;2009;82;UNIVERSIDADE DO OESTE DE SANTA CATARINA;11;40;4;160;manter: repeticao de capacidade planejada nao comprova duplicidade;"pendente; triagem automatica nao confirma preenchimento da IES"
mesmo valor de vagas aparece em pelo menos quatro cursos da IES;2009;852;FACULDADE DE INFORMATICA E ADMINISTRACAO PAULISTA;6;150;4;600;manter: repeticao de capacidade planejada nao comprova duplicidade;"pendente; triagem automatica nao confirma preenchimento da IES"
mesmo valor de vagas aparece em pelo menos quatro cursos da IES;2010;322;UNIVERSIDADE PAULISTA;80;115;43;4945;manter: repeticao de capacidade planejada nao comprova duplicidade;"pendente; triagem automatica nao confirma preenchimento da IES"
mesmo valor de vagas aparece em pelo menos quatro cursos da IES;2010;316;UNIVERSIDADE NOVE DE JULHO;34;140;14;1960;manter: repeticao de capacidade planejada nao comprova duplicidade;"pendente; triagem automatica nao confirma preenchimento da IES"
mesmo valor de vagas aparece em pelo menos quatro cursos da IES;2010;457;UNIVERSIDADE BANDEIRANTE DE SÃO PAULO;26;90;14;1260;manter: repeticao de capacidade planejada nao comprova duplicidade;"pendente; triagem automatica nao confirma preenchimento da IES"
mesmo valor de vagas aparece em pelo menos quatro cursos da IES;2010;1741;FACULDADE DE TECNOLOGIA INTERAMÉRICA;11;200;11;2200;manter: repeticao de capacidade planejada nao comprova duplicidade;"pendente; triagem automatica nao confirma preenchimento da IES"
mesmo valor de vagas aparece em pelo menos quatro cursos da IES;2010;163;UNIVERSIDADE ESTÁCIO DE SÁ;43;80;10;800;manter: repeticao de capacidade planejada nao comprova duplicidade;"pendente; triagem automatica nao confirma preenchimento da IES"
mesmo valor de vagas aparece em pelo menos quatro cursos da IES;2010;221;UNIVERSIDADE CRUZEIRO DO SUL;13;90;10;900;manter: repeticao de capacidade planejada nao comprova duplicidade;"pendente; triagem automatica nao confirma preenchimento da IES"
mesmo valor de vagas aparece em pelo menos quatro cursos da IES;2010;449;UNIVERSIDADE LUTERANA DO BRASIL;12;100;10;1000;manter: repeticao de capacidade planejada nao comprova duplicidade;"pendente; triagem automatica nao confirma preenchimento da IES"
mesmo valor de vagas aparece em pelo menos quatro cursos da IES;2010;47;UNIVERSIDADE ESTADUAL DE GOIÁS;12;40;10;400;manter: repeticao de capacidade planejada nao comprova duplicidade;"pendente; triagem automatica nao confirma preenchimento da IES"
mesmo valor de vagas aparece em pelo menos quatro cursos da IES;2010;338;PONTIFÍCIA UNIVERSIDADE CATÓLICA DE MINAS GERAIS;10;120;8;960;manter: repeticao de capacidade planejada nao comprova duplicidade;"pendente; triagem automatica nao confirma preenchimento da IES"
mesmo valor de vagas aparece em pelo menos quatro cursos da IES;2010;663;UNIVERSIDADE SALGADO DE OLIVEIRA;11;600;7;4200;manter: repeticao de capacidade planejada nao comprova duplicidade;"pendente; triagem automatica nao confirma preenchimento da IES"
mesmo valor de vagas aparece em pelo menos quatro cursos da IES;2010;441;UNIVERSIDADE DO CONTESTADO;6;50;6;300;manter: repeticao de capacidade planejada nao comprova duplicidade;"pendente; triagem automatica nao confirma preenchimento da IES"
mesmo valor de vagas aparece em pelo menos quatro cursos da IES;2010;582;UNIVERSIDADE FEDERAL DE SANTA MARIA;7;40;6;240;manter: repeticao de capacidade planejada nao comprova duplicidade;"pendente; triagem automatica nao confirma preenchimento da IES"
