MOTIVO_CURADORIA;NU_ANO_CENSO;CO_IES;NO_IES;CO_CURSO;NO_CURSO;DS_TP_MODALIDADE_ENSINO;DS_TP_GRAU_ACADEMICO;CO_ROTULO_AREA;NO_ROTULO_AREA;DS_CLASSIFICACAO_AREA;DS_CRITERIO_ESCOPO;QT_VG_TOTAL;QT_INSCRITO_TOTAL;QT_ING;QT_MAT;INSCRITO_IGUAL_A;DECISAO_CURADORIA;STATUS_VERIFICACAO_FONTE
"QT_INSCRITO_TOTAL igual a vagas ou ingressantes; igualdade nao comprova erro";2009;1046;UNIAO DAS FACULDADES DOS GRANDES LAGOS  UNILAGO;82748;SISTEMAS DE INFORMACAO;Presencial;Bacharelado;0615S02;Sistemas de informação;CINE;CINE área geral 6 Computação/TIC;100.0;100.0;23.0;95.0;VAGAS;manter: igualdade aritmetica isolada nao demonstra erro de declaracao;"pendente; triagem automatica nao confirma preenchimento da IES"
"QT_INSCRITO_TOTAL igual a vagas ou ingressantes; igualdade nao comprova erro";2009;1058;CENTRO UNIVERSITARIO DA BAHIA;88154;CIENCIA DA COMPUTACAO;Presencial;Bacharelado;0614C01;Ciência da computação;CINE;CINE área geral 6 Computação/TIC;200.0;200.0;2.0;70.0;VAGAS;manter: igualdade aritmetica isolada nao demonstra erro de declaracao;"pendente; triagem automatica nao confirma preenchimento da IES"
"QT_INSCRITO_TOTAL igual a vagas ou ingressantes; igualdade nao comprova erro";2009;1129;CENTRO UNIVERSITARIO DO NORTE PAULISTA;81137;ENGENHARIA - ENGENHARIA DA COMPUTACAO;Presencial;Bacharelado;0714E04;Engenharia de computação (DCN Engenharia);CINE;CINE rótulo 0714E04 Engenharia de Computação;160.0;95.0;95.0;144.0;ING;manter: igualdade aritmetica isolada nao demonstra erro de declaracao;"pendente; triagem automatica nao confirma preenchimento da IES"
"QT_INSCRITO_TOTAL igual a vagas ou ingressantes; igualdade nao comprova erro";2009;1325;FACULDADE DE APUCARANA;19990;SISTEMAS DE INFORMACAO;Presencial;Bacharelado;0615S02;Sistemas de informação;CINE;CINE área geral 6 Computação/TIC;80.0;80.0;18.0;138.0;VAGAS;manter: igualdade aritmetica isolada nao demonstra erro de declaracao;"pendente; triagem automatica nao confirma preenchimento da IES"
"QT_INSCRITO_TOTAL igual a vagas ou ingressantes; igualdade nao comprova erro";2009;1335;INSTITUTO DE ENSINO SUPERIOR THATHI;21266;CIENCIA DA COMPUTACAO;Presencial;Bacharelado;0614C01;Ciência da computação;CINE;CINE área geral 6 Computação/TIC;100.0;100.0;12.0;71.0;VAGAS;manter: igualdade aritmetica isolada nao demonstra erro de declaracao;"pendente; triagem automatica nao confirma preenchimento da IES"
"QT_INSCRITO_TOTAL igual a vagas ou ingressantes; igualdade nao comprova erro";2009;1365;CENTRO UNIVERSITARIO ADVENTISTA DE SAO PAULO;120162;CURSO SUPERIOR DE TECNOLOGIA EM SISTEMAS PARA INTERNET EIXO TECNOLOGICO INFORMACAO E COMUNICACAO;Presencial;Tecnológico;0615S03;Sistemas para internet;CINE;CINE área geral 6 Computação/TIC;100.0;100.0;19.0;17.0;VAGAS;manter: igualdade aritmetica isolada nao demonstra erro de declaracao;"pendente; triagem automatica nao confirma preenchimento da IES"
"QT_INSCRITO_TOTAL igual a vagas ou ingressantes; igualdade nao comprova erro";2009;1472;CENTRO UNIVERSITARIO LEONARDO DA VINCI;99974;CURSO SUPERIOR DE TECNOLOGIA EM REDES DE COMPUTADORES;EaD;Tecnológico;0612R01;Redes de computadores;CINE;CINE área geral 6 Computação/TIC;90.0;90.0;23.0;197.0;VAGAS;manter: igualdade aritmetica isolada nao demonstra erro de declaracao;"pendente; triagem automatica nao confirma preenchimento da IES"
"QT_INSCRITO_TOTAL igual a vagas ou ingressantes; igualdade nao comprova erro";2009;1583;FACULDADE DE TECNOLOGIA DE INDAIATUBA;89748;CURSO SUPERIOR DE TECNOLOGIA EM INFORMATICA COM ENFASE EM BANCO DE DADOS E REDES DE COMPUTADORES;Presencial;Tecnológico;0614C01;Ciência da computação;CINE;CINE área geral 6 Computação/TIC;80.0;80.0;79.0;205.0;VAGAS;manter: igualdade aritmetica isolada nao demonstra erro de declaracao;"pendente; triagem automatica nao confirma preenchimento da IES"
"QT_INSCRITO_TOTAL igual a vagas ou ingressantes; igualdade nao comprova erro";2009;1742;FACULDADE DE TECNOLOGIA CARLOS DRUMMOND DE ANDRADE;47972;CURSO SUPERIOR DE TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS;Presencial;Tecnológico;0615S02;Sistemas de informação;CINE;CINE área geral 6 Computação/TIC;100.0;100.0;73.0;105.0;VAGAS;manter: igualdade aritmetica isolada nao demonstra erro de declaracao;"pendente; triagem automatica nao confirma preenchimento da IES"
"QT_INSCRITO_TOTAL igual a vagas ou ingressantes; igualdade nao comprova erro";2009;1750;UNIDADE DE ENSINO SUPERIOR EXPOENTE;54920;SISTEMAS DE INFORMACAO;Presencial;Bacharelado;0615S02;Sistemas de informação;CINE;CINE área geral 6 Computação/TIC;100.0;100.0;55.0;102.0;VAGAS;manter: igualdade aritmetica isolada nao demonstra erro de declaracao;"pendente; triagem automatica nao confirma preenchimento da IES"
