MOTIVO_CURADORIA;NU_ANO_CENSO;CO_IES;NO_IES;CO_CURSO;NO_CURSO;DS_TP_MODALIDADE_ENSINO;DS_TP_GRAU_ACADEMICO;CO_ROTULO_AREA;NO_ROTULO_AREA;DS_CLASSIFICACAO_AREA;DS_CRITERIO_ESCOPO;DECISAO_CURADORIA;STATUS_VERIFICACAO_FONTE
registro de curso sem atividade em nenhuma metrica disponivel no ano;2020;10;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ;1549510;JOGOS DIGITAIS;Presencial;Bacharelado;0613J01;Jogos digitais;CINE;CINE área geral 6 Computação/TIC;"manter na base; excluir apenas de visuais que exigem curso com atividade";"pendente; triagem automatica nao confirma preenchimento da IES"
registro de curso sem atividade em nenhuma metrica disponivel no ano;2020;10;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ;1550529;CIÊNCIA DE DADOS;EaD;Tecnológico;0617C01;Ciência de dados;CINE;CINE área geral 6 Computação/TIC;"manter na base; excluir apenas de visuais que exigem curso com atividade";"pendente; triagem automatica nao confirma preenchimento da IES"
registro de curso sem atividade em nenhuma metrica disponivel no ano;2020;1107;Centro Universitário Estácio do Ceará;1487378;SISTEMAS DE INFORMAÇÃO;Presencial;Bacharelado;0615S02;Sistemas de informação;CINE;CINE área geral 6 Computação/TIC;"manter na base; excluir apenas de visuais que exigem curso com atividade";"pendente; triagem automatica nao confirma preenchimento da IES"
registro de curso sem atividade em nenhuma metrica disponivel no ano;2020;1153;UNIVERSIDADE CÂNDIDO MENDES;20061;CIÊNCIA DA COMPUTAÇÃO;Presencial;Bacharelado;0614C01;Ciência da computação;CINE;CINE área geral 6 Computação/TIC;"manter na base; excluir apenas de visuais que exigem curso com atividade";"pendente; triagem automatica nao confirma preenchimento da IES"
registro de curso sem atividade em nenhuma metrica disponivel no ano;2020;1196;UNIVERSIDADE CESUMAR;73029;SISTEMAS PARA INTERNET;Presencial;Tecnológico;0615S03;Sistemas para internet;CINE;CINE área geral 6 Computação/TIC;"manter na base; excluir apenas de visuais que exigem curso com atividade";"pendente; triagem automatica nao confirma preenchimento da IES"
registro de curso sem atividade em nenhuma metrica disponivel no ano;2020;1417;FACULDADE CNEC CAMPO LARGO;1205029;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;Presencial;Tecnológico;0615S02;Sistemas de informação;CINE;CINE área geral 6 Computação/TIC;"manter na base; excluir apenas de visuais que exigem curso com atividade";"pendente; triagem automatica nao confirma preenchimento da IES"
registro de curso sem atividade em nenhuma metrica disponivel no ano;2020;2766;FACULDADE EMPRESARIAL DE CHAPECÓ;110464;REDES DE COMPUTADORES;Presencial;Tecnológico;0612R01;Redes de computadores;CINE;CINE área geral 6 Computação/TIC;"manter na base; excluir apenas de visuais que exigem curso com atividade";"pendente; triagem automatica nao confirma preenchimento da IES"
registro de curso sem atividade em nenhuma metrica disponivel no ano;2020;294;FACULDADE TRÊS DE MAIO;72485;REDES DE COMPUTADORES;Presencial;Tecnológico;0612R01;Redes de computadores;CINE;CINE área geral 6 Computação/TIC;"manter na base; excluir apenas de visuais que exigem curso com atividade";"pendente; triagem automatica nao confirma preenchimento da IES"
registro de curso sem atividade em nenhuma metrica disponivel no ano;2020;588;UNIVERSIDADE TECNOLÓGICA FEDERAL DO PARANÁ;113415;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;Presencial;Tecnológico;0615S02;Sistemas de informação;CINE;CINE área geral 6 Computação/TIC;"manter na base; excluir apenas de visuais que exigem curso com atividade";"pendente; triagem automatica nao confirma preenchimento da IES"
registro de curso sem atividade em nenhuma metrica disponivel no ano;2020;673;CENTRO UNIVERSITÁRIO DA GRANDE DOURADOS;15608;CIÊNCIA DA COMPUTAÇÃO;Presencial;Bacharelado;0614C01;Ciência da computação;CINE;CINE área geral 6 Computação/TIC;"manter na base; excluir apenas de visuais que exigem curso com atividade";"pendente; triagem automatica nao confirma preenchimento da IES"
registro de curso sem atividade em nenhuma metrica disponivel no ano;2020;71;UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE;100105;CIÊNCIA DA COMPUTAÇÃO;Presencial;Bacharelado;0614C01;Ciência da computação;CINE;CINE área geral 6 Computação/TIC;"manter na base; excluir apenas de visuais que exigem curso com atividade";"pendente; triagem automatica nao confirma preenchimento da IES"
registro de curso sem atividade em nenhuma metrica disponivel no ano;2020;715;FAE CENTRO UNIVERSITÁRIO;96887;SISTEMAS PARA INTERNET;Presencial;Tecnológico;0615S03;Sistemas para internet;CINE;CINE área geral 6 Computação/TIC;"manter na base; excluir apenas de visuais que exigem curso com atividade";"pendente; triagem automatica nao confirma preenchimento da IES"
registro de curso sem atividade em nenhuma metrica disponivel no ano;2021;17777;FACULDADE SENAC CONCÓRDIA;5001358;Gestão Da Tecnologia Da Informação;Presencial;Tecnológico;0612G01;Gestão da tecnologia da informação;CINE;CINE área geral 6 Computação/TIC;"manter na base; excluir apenas de visuais que exigem curso com atividade";"pendente; triagem automatica nao confirma preenchimento da IES"
registro de curso sem atividade em nenhuma metrica disponivel no ano;2021;19512;Centro Universitário Imepac - Araguari;62074;Sistemas De Informação;Presencial;Bacharelado;0615S02;Sistemas de informação;CINE;CINE área geral 6 Computação/TIC;"manter na base; excluir apenas de visuais que exigem curso com atividade";"pendente; triagem automatica nao confirma preenchimento da IES"
registro de curso sem atividade em nenhuma metrica disponivel no ano;2021;384;Universidade Evangélica de Goiás;73318;Sistemas De Informação;Presencial;Bacharelado;0615S02;Sistemas de informação;CINE;CINE área geral 6 Computação/TIC;"manter na base; excluir apenas de visuais que exigem curso com atividade";"pendente; triagem automatica nao confirma preenchimento da IES"
registro de curso sem atividade em nenhuma metrica disponivel no ano;2021;398;UNIVERSIDADE TIRADENTES;98470;Gestão Da Tecnologia Da Informação;EaD;Tecnológico;0612G01;Gestão da tecnologia da informação;CINE;CINE área geral 6 Computação/TIC;"manter na base; excluir apenas de visuais que exigem curso com atividade";"pendente; triagem automatica nao confirma preenchimento da IES"
