MOTIVO_CURADORIA;NU_ANO_CENSO;CO_IES;NO_IES;CO_CURSO;NO_CURSO;DS_TP_MODALIDADE_ENSINO;DS_TP_GRAU_ACADEMICO;CO_ROTULO_AREA;NO_ROTULO_AREA;DS_CLASSIFICACAO_AREA;DS_CRITERIO_ESCOPO;DECISAO_CURADORIA;STATUS_VERIFICACAO_FONTE
bacharelados interdisciplinares mantidos pelo criterio oficial da area 6;2012;15059;UNIVERSIDADE FEDERAL DO OESTE DO PARÁ;1202222;BACHARELADO INTERDISCIPLINAR EM TECNOLOGIA DA INFORMAÇÃO;Presencial;Bacharelado;0688P01;Programas interdisciplinares abrangendo computação e Tecnologias da Informação e Comunicação (TIC);CINE;CINE área geral 6 Computação/TIC;manter: e curso de graduacao classificado na area 6, nao ABI;"pendente; triagem automatica nao confirma preenchimento da IES"
bacharelados interdisciplinares mantidos pelo criterio oficial da area 6;2013;15059;UNIVERSIDADE FEDERAL DO OESTE DO PARÁ;1202222;BACHARELADO INTERDISCIPLINAR EM TECNOLOGIA DA INFORMAÇÃO;Presencial;Bacharelado;0688P01;Programas interdisciplinares abrangendo computação e Tecnologias da Informação e Comunicação (TIC);CINE;CINE área geral 6 Computação/TIC;manter: e curso de graduacao classificado na area 6, nao ABI;"pendente; triagem automatica nao confirma preenchimento da IES"
bacharelados interdisciplinares mantidos pelo criterio oficial da area 6;2014;15059;UNIVERSIDADE FEDERAL DO OESTE DO PARÁ;1202222;INTERDISCIPLINAR EM TECNOLOGIA DA INFORMAÇÃO;Presencial;Bacharelado;0688P01;Programas interdisciplinares abrangendo computação e Tecnologias da Informação e Comunicação (TIC);CINE;CINE área geral 6 Computação/TIC;manter: e curso de graduacao classificado na area 6, nao ABI;"pendente; triagem automatica nao confirma preenchimento da IES"
bacharelados interdisciplinares mantidos pelo criterio oficial da area 6;2017;589;UNIVERSIDADE FEDERAL RURAL DO SEMI-ÁRIDO;1321646;INTERDISCIPLINAR EM TECNOLOGIA DA INFORMAÇÃO - BI/LI;Presencial;Bacharelado;481T01;Tecnologia da informação;OCDE;OCDE área específica 48 Computação;manter: e curso de graduacao classificado na area 6, nao ABI;"pendente; triagem automatica nao confirma preenchimento da IES"
bacharelados interdisciplinares mantidos pelo criterio oficial da area 6;2018;589;UNIVERSIDADE FEDERAL RURAL DO SEMI-ÁRIDO;1321646;INTERDISCIPLINAR EM TECNOLOGIA DA INFORMAÇÃO - BI/LI;Presencial;Bacharelado;0688P01;Programas interdisciplinares abrangendo computação e Tecnologias da Informação e Comunicação (TIC);CINE Brasil;CINE Brasil área geral 6 Computação/TIC;manter: e curso de graduacao classificado na area 6, nao ABI;"pendente; triagem automatica nao confirma preenchimento da IES"
bacharelados interdisciplinares mantidos pelo criterio oficial da area 6;2019;589;UNIVERSIDADE FEDERAL RURAL DO SEMI-ÁRIDO;1321646;INTERDISCIPLINAR EM TECNOLOGIA DA INFORMAÇÃO - BI/LI;Presencial;Bacharelado;0688P01;Programas interdisciplinares abrangendo computação e Tecnologias da Informação e Comunicação (TIC);CINE Brasil;CINE Brasil área geral 6 Computação/TIC;manter: e curso de graduacao classificado na area 6, nao ABI;"pendente; triagem automatica nao confirma preenchimento da IES"
bacharelados interdisciplinares mantidos pelo criterio oficial da area 6;2020;589;UNIVERSIDADE FEDERAL RURAL DO SEMI-ÁRIDO;1321646;INTERDISCIPLINAR EM TECNOLOGIA DA INFORMAÇÃO - BI/LI;Presencial;Bacharelado;0688P01;Programas interdisciplinares abrangendo computação e Tecnologias da Informação e Comunicação (TIC);CINE;CINE área geral 6 Computação/TIC;manter: e curso de graduacao classificado na area 6, nao ABI;"pendente; triagem automatica nao confirma preenchimento da IES"
bacharelados interdisciplinares mantidos pelo criterio oficial da area 6;2021;589;UNIVERSIDADE FEDERAL RURAL DO SEMI-ÁRIDO;1321646;Interdisciplinar Em Tecnologia Da Informação - Bi/Li;Presencial;Bacharelado;0688P01;Programas interdisciplinares abrangendo computação e Tecnologias da Informação e Comunicação (TIC);CINE;CINE área geral 6 Computação/TIC;manter: e curso de graduacao classificado na area 6, nao ABI;"pendente; triagem automatica nao confirma preenchimento da IES"
bacharelados interdisciplinares mantidos pelo criterio oficial da area 6;2022;589;UNIVERSIDADE FEDERAL RURAL DO SEMI-ÁRIDO;1321646;Interdisciplinar Em Tecnologia Da Informação - Bi/Li;Presencial;Bacharelado;0688P01;Programas interdisciplinares abrangendo computação e Tecnologias da Informação e Comunicação (TIC);CINE;CINE área geral 6 Computação/TIC;manter: e curso de graduacao classificado na area 6, nao ABI;"pendente; triagem automatica nao confirma preenchimento da IES"
bacharelados interdisciplinares mantidos pelo criterio oficial da area 6;2023;589;UNIVERSIDADE FEDERAL RURAL DO SEMI-ÁRIDO;1321646;Interdisciplinar Em Tecnologia Da Informação - Bi/Li;Presencial;Bacharelado;0688P01;Programas interdisciplinares abrangendo computação e Tecnologias da Informação e Comunicação (TIC);CINE;CINE área geral 6 Computação/TIC;manter: e curso de graduacao classificado na area 6, nao ABI;"pendente; triagem automatica nao confirma preenchimento da IES"
bacharelados interdisciplinares mantidos pelo criterio oficial da area 6;2024;589;UNIVERSIDADE FEDERAL RURAL DO SEMI-ÁRIDO;1321646;Interdisciplinar Em Tecnologia Da Informação - Bi/Li;Presencial;Bacharelado;0688P01;Programas interdisciplinares abrangendo computação e Tecnologias da Informação e Comunicação (TIC);CINE;CINE área geral 6 Computação/TIC;manter: e curso de graduacao classificado na area 6, nao ABI;"pendente; triagem automatica nao confirma preenchimento da IES"
