MOTIVO_CURADORIA;NU_ANO_CENSO;CO_IES;NO_IES;CO_CURSO;NO_CURSO;MUNICIPIOS;MUNICIPIOS_SEM_MATRICULA;MAT_TOTAL_MUNICIPAL;MAT_MAIOR_MUNICIPIO;FRAC_MUNICIPIOS_ZERADOS;FRAC_NO_MAIOR_MUNICIPIO;PADRAO_ATIPICO;PRIORIDADE_SE_PUBLICAR_MAPA;DECISAO_CURADORIA;STATUS_VERIFICACAO_FONTE
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2012;322;UNIVERSIDADE PAULISTA;100320;GESTÃO DE SISTEMAS DE INFORMAÇÃO;373;368;78.0;38.0;0.987;0.487;muitos municipios zerados;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2024;1491;CENTRO UNIVERSITÁRIO INTERNACIONAL;1517110;Desenvolvimento Mobile;206;143;100.0;10.0;0.694;0.1;muitos municipios zerados;conferir os municipios no mapa;"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2013;322;UNIVERSIDADE PAULISTA;100320;GESTÃO DE SISTEMAS DE INFORMAÇÃO;182;176;23.0;17.0;0.967;0.739;muitos municipios zerados;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2014;322;UNIVERSIDADE PAULISTA;100320;GESTÃO DE SISTEMAS DE INFORMAÇÃO;158;151;11.0;5.0;0.956;0.455;muitos municipios zerados;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2022;671;UNIVERSIDADE ANHANGUERA;1576140;Engenharia De Software;156;146;45.0;12.0;0.936;0.267;muitos municipios zerados;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2021;1491;CENTRO UNIVERSITÁRIO INTERNACIONAL;1517110;Desenvolvimento De Aplicativos Para Dispositivos Móveis;150;90;97.0;13.0;0.6;0.134;muitos municipios zerados;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2022;671;UNIVERSIDADE ANHANGUERA;1548245;Redes De Computadores;137;127;23.0;5.0;0.927;0.217;muitos municipios zerados;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2022;671;UNIVERSIDADE ANHANGUERA;1550008;Cibersegurança;113;104;18.0;5.0;0.92;0.278;muitos municipios zerados;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2022;671;UNIVERSIDADE ANHANGUERA;1537694;Desenvolvimento Para Web;98;85;17.0;2.0;0.867;0.118;muitos municipios zerados;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2022;671;UNIVERSIDADE ANHANGUERA;1576158;Gestão Da Tecnologia Da Informação;97;90;14.0;7.0;0.928;0.5;muitos municipios zerados;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2022;671;UNIVERSIDADE ANHANGUERA;1548203;Ciência De Dados;94;87;14.0;4.0;0.926;0.286;muitos municipios zerados;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2024;926;Centro Universitário Anhanguera Pitágoras Unopar de Campo Grande;1617148;Engenharia De Computação;92;60;49.0;5.0;0.652;0.102;muitos municipios zerados;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2022;671;UNIVERSIDADE ANHANGUERA;1537675;Desenvolvimento Mobile;81;74;7.0;1.0;0.914;0.143;muitos municipios zerados;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
