NU_ANO_CENSO;LINHAS;QT_VG_TOTAL_pct_preenchido;QT_VG_TOTAL_pct_maior_zero;QT_INSCRITO_TOTAL_pct_preenchido;QT_INSCRITO_TOTAL_pct_maior_zero;QT_ING_pct_preenchido;QT_ING_pct_maior_zero;QT_MAT_pct_preenchido;QT_MAT_pct_maior_zero;QT_CONC_pct_preenchido;QT_CONC_pct_maior_zero;QT_SIT_TRANCADA_pct_preenchido;QT_SIT_TRANCADA_pct_maior_zero;QT_SIT_DESVINCULADO_pct_preenchido;QT_SIT_DESVINCULADO_pct_maior_zero;QT_SIT_TRANSFERIDO_pct_preenchido;QT_SIT_TRANSFERIDO_pct_maior_zero;QT_SIT_FALECIDO_pct_preenchido;QT_SIT_FALECIDO_pct_maior_zero
2009;1967;100.0;92.0;100.0;89.2;100.0;88.9;100.0;98.8;100.0;70.6;100.0;75.2;100.0;71.1;100.0;0.0;100.0;1.7
2010;2064;100.0;91.2;100.0;86.6;100.0;88.5;100.0;98.4;100.0;71.1;100.0;85.3;100.0;89.9;100.0;36.2;100.0;2.9
2011;2176;100.0;91.2;100.0;87.9;100.0;87.5;100.0;98.5;100.0;74.9;100.0;85.0;100.0;92.6;100.0;41.7;100.0;2.9
2012;2309;100.0;90.7;100.0;86.7;100.0;86.6;100.0;97.3;100.0;74.7;100.0;84.1;100.0;93.5;100.0;42.7;100.0;2.3
2013;2356;100.0;91.7;100.0;86.3;100.0;86.0;100.0;96.8;100.0;77.0;100.0;84.3;100.0;93.5;100.0;39.8;100.0;2.5
2014;2402;100.0;90.3;100.0;87.2;100.0;84.0;100.0;96.5;100.0;75.3;100.0;84.1;100.0;92.9;100.0;38.1;100.0;2.5
2015;2439;100.0;92.7;100.0;89.7;100.0;84.8;100.0;96.3;100.0;78.4;100.0;85.3;100.0;93.4;100.0;38.1;100.0;2.1
2016;2470;100.0;93.7;100.0;89.4;100.0;84.7;100.0;95.3;100.0;78.6;100.0;83.8;100.0;94.7;100.0;39.6;100.0;1.7
2017;2292;100.0;93.8;0.0;0.0;100.0;87.2;100.0;96.5;100.0;77.7;100.0;84.9;100.0;94.7;100.0;38.8;100.0;1.7
2018;2641;100.0;94.5;100.0;91.7;100.0;88.0;100.0;96.0;100.0;74.9;100.0;80.9;100.0;94.2;100.0;38.3;100.0;1.6
2019;2816;100.0;94.4;100.0;92.3;100.0;87.9;100.0;95.8;100.0;71.8;100.0;80.8;100.0;92.9;100.0;35.8;100.0;2.1
2020;3063;100.0;93.5;100.0;90.7;100.0;84.8;100.0;93.6;100.0;67.7;100.0;79.4;100.0;90.4;100.0;30.3;100.0;2.2
2021;3228;100.0;93.4;100.0;88.8;100.0;83.8;100.0;94.6;100.0;67.3;100.0;79.3;100.0;90.3;100.0;28.0;100.0;2.4
2022;3564;100.0;93.8;100.0;91.2;100.0;86.4;100.0;94.4;100.0;66.3;100.0;78.8;100.0;90.1;100.0;28.7;100.0;1.9
2023;3796;100.0;93.0;100.0;90.5;100.0;87.1;100.0;94.3;100.0;66.6;100.0;73.6;100.0;91.6;100.0;30.6;100.0;2.2
2024;3894;100.0;92.6;100.0;90.4;100.0;86.7;100.0;94.1;100.0;70.7;100.0;80.4;100.0;91.9;100.0;33.4;100.0;1.8
