MOTIVO_CURADORIA;NU_ANO_CENSO;CO_IES;NO_IES;CO_CURSO;NO_CURSO;DS_TP_MODALIDADE_ENSINO;DS_TP_GRAU_ACADEMICO;CO_ROTULO_AREA;NO_ROTULO_AREA;DS_CLASSIFICACAO_AREA;DS_CRITERIO_ESCOPO;TIPO_INFERIDO_PELO_NOME;DECISAO_CURADORIA;STATUS_VERIFICACAO_FONTE
"cursos incluidos pelo codigo OCDE 523E04; nomes divergentes permanecem como declarados na fonte";2017;1;UNIVERSIDADE FEDERAL DE MATO GROSSO;1270062;ENGENHARIA DE COMPUTAÇÃO;Presencial;Bacharelado;523E04;Engenharia de computação;OCDE;OCDE proxy 5.23E+06 Engenharia/Computação;ENGENHARIA DE COMPUTACAO;manter: 523E04 e o rotulo OCDE oficial de Engenharia de Computacao;"pendente; triagem automatica nao confirma preenchimento da IES"
"cursos incluidos pelo codigo OCDE 523E04; nomes divergentes permanecem como declarados na fonte";2017;10;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ;872;ENGENHARIA DA COMPUTAÇÃO;Presencial;Bacharelado;523E04;Engenharia de computação;OCDE;OCDE proxy 5.23E+06 Engenharia/Computação;ENGENHARIA DE COMPUTACAO;manter: 523E04 e o rotulo OCDE oficial de Engenharia de Computacao;"pendente; triagem automatica nao confirma preenchimento da IES"
"cursos incluidos pelo codigo OCDE 523E04; nomes divergentes permanecem como declarados na fonte";2017;1032;CENTRO UNIVERSITÁRIO SALESIANO DE SÃO PAULO;1111379;ENGENHARIA DA COMPUTAÇÃO;Presencial;Bacharelado;523E04;Engenharia de computação;OCDE;OCDE proxy 5.23E+06 Engenharia/Computação;ENGENHARIA DE COMPUTACAO;manter: 523E04 e o rotulo OCDE oficial de Engenharia de Computacao;"pendente; triagem automatica nao confirma preenchimento da IES"
"cursos incluidos pelo codigo OCDE 523E04; nomes divergentes permanecem como declarados na fonte";2017;1032;CENTRO UNIVERSITÁRIO SALESIANO DE SÃO PAULO;1155202;ENGENHARIA DE COMPUTAÇÃO;Presencial;Bacharelado;523E04;Engenharia de computação;OCDE;OCDE proxy 5.23E+06 Engenharia/Computação;ENGENHARIA DE COMPUTACAO;manter: 523E04 e o rotulo OCDE oficial de Engenharia de Computacao;"pendente; triagem automatica nao confirma preenchimento da IES"
"cursos incluidos pelo codigo OCDE 523E04; nomes divergentes permanecem como declarados na fonte";2017;1036;UNIVERSIDADE DO ESTADO DE MINAS GERAIS;20856;ENGENHARIA DE COMPUTAÇÃO;Presencial;Bacharelado;523E04;Engenharia de computação;OCDE;OCDE proxy 5.23E+06 Engenharia/Computação;ENGENHARIA DE COMPUTACAO;manter: 523E04 e o rotulo OCDE oficial de Engenharia de Computacao;"pendente; triagem automatica nao confirma preenchimento da IES"
"cursos incluidos pelo codigo OCDE 523E04; nomes divergentes permanecem como declarados na fonte";2017;1036;UNIVERSIDADE DO ESTADO DE MINAS GERAIS;5000324;ENGENHARIA DE COMPUTAÇÃO;Presencial;Bacharelado;523E04;Engenharia de computação;OCDE;OCDE proxy 5.23E+06 Engenharia/Computação;ENGENHARIA DE COMPUTACAO;manter: 523E04 e o rotulo OCDE oficial de Engenharia de Computacao;"pendente; triagem automatica nao confirma preenchimento da IES"
"cursos incluidos pelo codigo OCDE 523E04; nomes divergentes permanecem como declarados na fonte";2017;1038;FACULDADES INTEGRADAS DE TRÊS LAGOAS;1184438;ENGENHARIA DE COMPUTAÇÃO;Presencial;Bacharelado;523E04;Engenharia de computação;OCDE;OCDE proxy 5.23E+06 Engenharia/Computação;ENGENHARIA DE COMPUTACAO;manter: 523E04 e o rotulo OCDE oficial de Engenharia de Computacao;"pendente; triagem automatica nao confirma preenchimento da IES"
"cursos incluidos pelo codigo OCDE 523E04; nomes divergentes permanecem como declarados na fonte";2017;1041;UNIVERSIDADE DO VALE DO TAQUARI;1202517;ENGENHARIA DE SOFTWARE;Presencial;Bacharelado;523E04;Engenharia de computação;OCDE;OCDE proxy 5.23E+06 Engenharia/Computação;ENGENHARIA DE SOFTWARE;manter: 523E04 e o rotulo OCDE oficial de Engenharia de Computacao;"pendente; triagem automatica nao confirma preenchimento da IES"
"cursos incluidos pelo codigo OCDE 523E04; nomes divergentes permanecem como declarados na fonte";2017;1041;UNIVERSIDADE DO VALE DO TAQUARI;53786;ENGENHARIA DA COMPUTAÇÃO;Presencial;Bacharelado;523E04;Engenharia de computação;OCDE;OCDE proxy 5.23E+06 Engenharia/Computação;ENGENHARIA DE COMPUTACAO;manter: 523E04 e o rotulo OCDE oficial de Engenharia de Computacao;"pendente; triagem automatica nao confirma preenchimento da IES"
"cursos incluidos pelo codigo OCDE 523E04; nomes divergentes permanecem como declarados na fonte";2017;1042;UNIVERSIDADE POSITIVO;20328;ENGENHARIA DE COMPUTAÇÃO;Presencial;Bacharelado;523E04;Engenharia de computação;OCDE;OCDE proxy 5.23E+06 Engenharia/Computação;ENGENHARIA DE COMPUTACAO;manter: 523E04 e o rotulo OCDE oficial de Engenharia de Computacao;"pendente; triagem automatica nao confirma preenchimento da IES"
