NU_ANO_CENSO;CO_IES;CO_CURSO;NO_IES;NO_CURSO;CO_MUNICIPIO;NO_MUNICIPIO;REGRA;EVIDENCIA;IMPACTO;STATUS
2024;1042;1599115;UNIVERSIDADE POSITIVO;Desenvolvimento Mobile;;;classificacao_em_definicao;0619P01: Programas abrangendo Computação e Tecnologias da Informação e Comunicação (TIC) em processo de definição da classificação;"classificacao declarada ainda em definicao; nao inferir categoria pelo nome";"suspeita; sem erro de declaracao confirmado"
2024;1196;1615338;UNIVERSIDADE CESUMAR;Desenvolvimento De Aplicativos Móveis;;;classificacao_em_definicao;0619P01: Programas abrangendo Computação e Tecnologias da Informação e Comunicação (TIC) em processo de definição da classificação;"classificacao declarada ainda em definicao; nao inferir categoria pelo nome";"suspeita; sem erro de declaracao confirmado"
2024;1427;1599297;CENTRO UNIVERSITÁRIO DA SERRA GAÚCHA;Desenvolvimento Mobile;;;classificacao_em_definicao;0619P01: Programas abrangendo Computação e Tecnologias da Informação e Comunicação (TIC) em processo de definição da classificação;"classificacao declarada ainda em definicao; nao inferir categoria pelo nome";"suspeita; sem erro de declaracao confirmado"
2024;1472;1617841;CENTRO UNIVERSITÁRIO LEONARDO DA VINCI;Desenvolvimento De Aplicativos Móveis;;;classificacao_em_definicao;0619P01: Programas abrangendo Computação e Tecnologias da Informação e Comunicação (TIC) em processo de definição da classificação;"classificacao declarada ainda em definicao; nao inferir categoria pelo nome";"suspeita; sem erro de declaracao confirmado"
2024;1491;1517110;CENTRO UNIVERSITÁRIO INTERNACIONAL;Desenvolvimento Mobile;;;classificacao_em_definicao;0619P01: Programas abrangendo Computação e Tecnologias da Informação e Comunicação (TIC) em processo de definição da classificação;"classificacao declarada ainda em definicao; nao inferir categoria pelo nome";"suspeita; sem erro de declaracao confirmado"
2024;221;1598939;UNIVERSIDADE CRUZEIRO DO SUL;Desenvolvimento Mobile;;;classificacao_em_definicao;0619P01: Programas abrangendo Computação e Tecnologias da Informação e Comunicação (TIC) em processo de definição da classificação;"classificacao declarada ainda em definicao; nao inferir categoria pelo nome";"suspeita; sem erro de declaracao confirmado"
2024;242;1582586;CENTRO UNIVERSITÁRIO ANHANGUERA PITÁGORAS AMPLI;Desenvolvimento Mobile;;;classificacao_em_definicao;0619P01: Programas abrangendo Computação e Tecnologias da Informação e Comunicação (TIC) em processo de definição da classificação;"classificacao declarada ainda em definicao; nao inferir categoria pelo nome";"suspeita; sem erro de declaracao confirmado"
2024;298;1537353;Universidade Pitágoras Unopar Anhanguera;Desenvolvimento Mobile;;;classificacao_em_definicao;0619P01: Programas abrangendo Computação e Tecnologias da Informação e Comunicação (TIC) em processo de definição da classificação;"classificacao declarada ainda em definicao; nao inferir categoria pelo nome";"suspeita; sem erro de declaracao confirmado"
2024;3294;1619434;CENTRO UNIVERSITÁRIO FAVENI;Desenvolvimento De Aplicativos Para Dispositivos Móveis;;;classificacao_em_definicao;0619P01: Programas abrangendo Computação e Tecnologias da Informação e Comunicação (TIC) em processo de definição da classificação;"classificacao declarada ainda em definicao; nao inferir categoria pelo nome";"suspeita; sem erro de declaracao confirmado"
2024;3294;1620561;CENTRO UNIVERSITÁRIO FAVENI;Desenvolvimento Mobile;;;classificacao_em_definicao;0619P01: Programas abrangendo Computação e Tecnologias da Informação e Comunicação (TIC) em processo de definição da classificação;"classificacao declarada ainda em definicao; nao inferir categoria pelo nome";"suspeita; sem erro de declaracao confirmado"
