NU_ANO_CENSO;CO_IES;CO_CURSO;ARQUIVO_FONTE;LINHAS_BRUTAS;LINHAS_EXPANDIDA;STATUS;STATUS_SITUACOES;NOME_FONTE;AREA_GERAL_FONTE;ROTULO_FONTE;ROTULO_OFICIAL;MAT_BRUTA_SOMA
2020;385;56172;data/raw/2020/dados/MICRODADOS_CADASTRO_CURSOS_2020.CSV;1;1;MAT ING CONC por municipio/dimensao iguais a fonte;iguais a fonte por municipio/dimensao;SISTEMAS DE INFORMAÇÃO;06;;0615S02;113
2021;1472;1516785;data/raw/2021/dados/MICRODADOS_CADASTRO_CURSOS_2021.CSV;307;307;MAT ING CONC por municipio/dimensao iguais a fonte;iguais a fonte por municipio/dimensao;Jogos Digitais;06;"""0613J01""";0613J01;574
2021;322;1180605;data/raw/2021/dados/MICRODADOS_CADASTRO_CURSOS_2021.CSV;1;1;MAT ING CONC por municipio/dimensao iguais a fonte;iguais a fonte por municipio/dimensao;Análise E Desenvolvimento De Sistemas;06;"""0615S02""";0615S02;108
2021;385;56172;data/raw/2021/dados/MICRODADOS_CADASTRO_CURSOS_2021.CSV;1;1;MAT ING CONC por municipio/dimensao iguais a fonte;iguais a fonte por municipio/dimensao;Sistemas De Informação;06;"""0615S02""";0615S02;0
2022;1472;1516785;data/raw/2022/dados/MICRODADOS_CADASTRO_CURSOS_2022.CSV;356;356;MAT ING CONC por municipio/dimensao iguais a fonte;iguais a fonte por municipio/dimensao;Jogos Digitais;06;"""0613J01""";0613J01;763
2022;1153;1568726;data/raw/2022/dados/MICRODADOS_CADASTRO_CURSOS_2022.CSV;13;13;MAT ING CONC por municipio/dimensao iguais a fonte;iguais a fonte por municipio/dimensao;Redes De Computadores;06;"""0612R01""";0612R01;76
2022;587;1516690;data/raw/2022/dados/MICRODADOS_CADASTRO_CURSOS_2022.CSV;1;1;MAT ING CONC por municipio/dimensao iguais a fonte;iguais a fonte por municipio/dimensao;Engenharia De Computação;07;"""0714E04""";0714E04;178
2022;322;1180605;data/raw/2022/dados/MICRODADOS_CADASTRO_CURSOS_2022.CSV;1;1;MAT ING CONC por municipio/dimensao iguais a fonte;iguais a fonte por municipio/dimensao;Análise E Desenvolvimento De Sistemas;06;"""0615S02""";0615S02;0
2022;385;56172;data/raw/2022/dados/MICRODADOS_CADASTRO_CURSOS_2022.CSV;1;1;MAT ING CONC por municipio/dimensao iguais a fonte;iguais a fonte por municipio/dimensao;Sistemas De Informação;06;"""0615S02""";0615S02;100
2023;344;1571401;data/raw/2023/dados/MICRODADOS_CADASTRO_CURSOS_2023.CSV;29;29;MAT ING CONC por municipio/dimensao iguais a fonte;iguais a fonte por municipio/dimensao;Análise E Desenvolvimento De Sistemas;06;"""0615S02""";0615S02;626
