CO_IES;CO_CURSO;CO_MUNICIPIO;DS_MODELO_DADOS;TP_MODALIDADE_ENSINO;ANO_INICIAL;ANO_FINAL;ANOS_ZERO;NO_IES;NO_CURSO;NO_MUNICIPIO;NU_ANO_CENSO
10;118914;4113700;antigo;1;2017;2019;3;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ;SISTEMAS PARA INTERNET;;2019
1041;1419765;4302402;cadastro_cursos;2;2020;2023;4;UNIVERSIDADE DO VALE DO TAQUARI;Gestão Da Tecnologia Da Informação;Bom Retiro do Sul;2023
1042;1537352;4105805;cadastro_cursos;2;2021;2023;3;UNIVERSIDADE POSITIVO;Sistemas De Informação;Colombo;2023
1042;1537441;4119905;cadastro_cursos;2;2020;2022;3;UNIVERSIDADE POSITIVO;Sistemas Para Internet;Ponta Grossa;2022
1153;1524950;3304805;cadastro_cursos;2;2021;2023;3;UNIVERSIDADE CÂNDIDO MENDES;Engenharia De Computação;São Fidélis;2023
1196;1170051;2208304;cadastro_cursos;2;2022;2024;3;UNIVERSIDADE CESUMAR;Sistemas Para Internet;Piracuruca;2024
1196;1170051;2313500;cadastro_cursos;2;2020;2022;3;UNIVERSIDADE CESUMAR;Sistemas Para Internet;Trairi;2022
1196;1170051;3518701;cadastro_cursos;2;2022;2024;3;UNIVERSIDADE CESUMAR;Sistemas Para Internet;Guarujá;2024
1196;1170051;5209101;cadastro_cursos;2;2021;2023;3;UNIVERSIDADE CESUMAR;Sistemas Para Internet;Goiatuba;2023
1196;1314138;2208304;cadastro_cursos;2;2021;2023;3;UNIVERSIDADE CESUMAR;Engenharia De Software;Piracuruca;2023
1196;1314139;2311801;cadastro_cursos;2;2022;2024;3;UNIVERSIDADE CESUMAR;Gestão Da Tecnologia Da Informação;Russas;2024
1196;1314139;3519600;cadastro_cursos;2;2022;2024;3;UNIVERSIDADE CESUMAR;Gestão Da Tecnologia Da Informação;Ibitinga;2024
1196;1556798;2311306;cadastro_cursos;2;2022;2024;3;UNIVERSIDADE CESUMAR;Ciências De Dados E Análise De Comportamento;Quixadá;2024
