NU_ANO_CENSO;CO_IES;CO_CURSO;ANO_ANTERIOR;NO_IES;NO_CURSO;DS_MODELO_DADOS;TP_MODALIDADE_ENSINO;MUNICIPIOS_ANTES;MUNICIPIOS_DEPOIS;MAT_ANTES;MAT_DEPOIS;VARIACAO_DISTRIBUICAO;FRAC_MAT_EM_MUNICIPIOS_QUE_SOMEM;MAIOR_MUNICIPIO_ANTES;MAIOR_MUNICIPIO_DEPOIS
2024;1196;1615338;2023;UNIVERSIDADE CESUMAR;Desenvolvimento De Aplicativos Móveis;cadastro_cursos;2;159;223;108.0;135.0;0.566667;0.055556;4106902;3304557
2015;1270;1299253;2014;CENTRO UNIVERSITÁRIO UNISEB;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;cadastro_cursos;2;71;90;543.0;907.0;0.53084;0.0;3543402;3550308
2022;242;1541396;2021;CENTRO UNIVERSITÁRIO ANHANGUERA PITÁGORAS AMPLI;Análise E Desenvolvimento De Sistemas;cadastro_cursos;2;101;165;291.0;489.0;0.687264;0.127148;3547809;3547809
2024;242;1541396;2023;CENTRO UNIVERSITÁRIO ANHANGUERA PITÁGORAS AMPLI;Análise E Desenvolvimento De Sistemas;cadastro_cursos;2;178;70;637.0;375.0;0.515491;0.453689;3547809;3547809
2024;242;1562890;2023;CENTRO UNIVERSITÁRIO ANHANGUERA PITÁGORAS AMPLI;Gestão Da Tecnologia Da Informação;cadastro_cursos;2;87;70;118.0;490.0;0.570114;0.440678;3547809;3547809
2022;242;1575915;2021;CENTRO UNIVERSITÁRIO ANHANGUERA PITÁGORAS AMPLI;Engenharia De Software;cadastro_cursos;2;129;260;1189.0;1790.0;0.663272;0.079058;3547809;3547809
2024;242;1582525;2023;CENTRO UNIVERSITÁRIO ANHANGUERA PITÁGORAS AMPLI;Cibersegurança;cadastro_cursos;2;89;68;116.0;224.0;0.591749;0.465517;3547809;3547809
2022;242;1582533;2021;CENTRO UNIVERSITÁRIO ANHANGUERA PITÁGORAS AMPLI;Ciência De Dados;cadastro_cursos;2;40;97;104.0;163.0;0.751298;0.173077;3547809;3547809
2024;242;1582533;2023;CENTRO UNIVERSITÁRIO ANHANGUERA PITÁGORAS AMPLI;Ciência De Dados;cadastro_cursos;2;109;70;197.0;245.0;0.542318;0.482234;3550308;3547809
2024;242;1582559;2023;CENTRO UNIVERSITÁRIO ANHANGUERA PITÁGORAS AMPLI;Desenvolvimento Back-End;cadastro_cursos;2;81;61;120.0;152.0;0.619737;0.5;3550308;3547809
