NU_ANO_CENSO;LINHAS;IES;MATRICULAS;VAR_LINHAS_PCT;VAR_IES_PCT;VAR_MATRICULAS_PCT;PCT_MATRICULAS_EAD;CURSOS_NOVOS;CURSOS_QUE_SUMIRAM;STATUS;MOTIVO
2009;1967;886;284863.0;;;;7.9;;;OK;
2010;2064;920;304968.0;4.9;3.8;7.1;9.6;268;171;OK;
2011;2176;951;320827.0;5.4;3.4;5.2;10.0;181;69;OK;
2012;2309;987;323011.0;6.1;3.8;0.7;10.7;181;48;OK;
2013;2356;986;332138.0;2.0;-0.1;2.8;12.1;153;106;OK;
2014;2402;988;339265.0;2.0;0.2;2.1;13.5;153;107;OK;
2015;2439;979;338413.0;1.5;-0.9;-0.3;15.1;146;109;OK;
2016;2470;987;330538.0;1.3;0.8;-2.3;16.0;130;99;OK;
2017;2292;949;314020.0;-7.2;-3.9;-5.0;17.2;139;317;OK;
2018;2641;1006;362762.0;15.2;6.0;15.5;24.7;460;111;OK;
2019;2816;984;381845.0;6.6;-2.2;5.3;28.5;312;137;OK;
2020;3063;959;430414.0;8.8;-2.5;12.7;39.4;415;168;OK;
2021;3228;949;499839.0;5.4;-1.0;16.1;48.7;337;172;OK;
2022;3564;970;633688.0;10.4;2.2;26.8;55.3;469;133;OK;
2023;3796;974;767567.0;6.5;0.4;21.1;57.8;425;193;OK;
2024;3894;977;860791.0;2.6;0.3;12.1;58.5;293;195;OK;
